config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga150k2x	PARM	4268552	98	0.0128	0.7280	0.4942	0.0062	0.0032	897.7496	0.7364	
nsga150k2x	PARM	4279969	94	0.0128	0.6400	0.4951	0.0040	0.0029	1041.7618	0.6220	
nsga150k2x	PARM	4270763	103	0.0321	0.7689	0.5038	0.0041	0.0034	579.0931	0.7091	
nsga150k2x	PARM	4152353	112	0.0321	0.7285	0.4952	0.0047	0.0030	913.9283	0.7663	
nsga150k2x	PARM	4106196	109	0.0321	0.6912	0.4960	0.0040	0.0029	102.3191	0.6861	
nsga150k2x	PARM	4097724	104	0.0064	0.7197	0.4888	0.0059	0.0037	890.2306	0.6500	
nsga150k2x	PARM	4100455	118	0.0256	0.6714	0.4987	0.0040	0.0027	596.1674	0.7028	
nsga150k2x	PARM	4098748	103	0.0064	0.6917	0.4929	0.0046	0.0034	601.3820	0.7001	
nsga150k2x	PARM	4094702	96	0.0449	0.6795	0.4999	0.0054	0.0027	576.6076	0.7099	
nsga150k2x	PARM	4090469	108	0.0192	0.6300	0.4966	0.0040	0.0033	835.7033	0.6557	
nsga150k2x	PARM	4103495	114	0.0064	0.6342	0.4844	0.0047	0.0034	1374.9022	0.6988	
nsga150k2x	PARM	2927440	90	0.0128	0.6575	0.4995	0.0041	0.0030	658.3924	0.6311	
nsga150k2x	PARM	2736683	96	0.0192	0.6988	0.4975	0.0044	0.0029	380.3886	0.6214	
nsga150k2x	PARM	2738136	107	0.0192	0.7263	0.4932	0.0044	0.0029	1167.9730	0.6764	
nsga150k2x	PARM	2737110	97	0.0513	0.6315	0.5030	0.0050	0.0031	13.1000	0.5972	
nsga150k2x	PARM	2729898	91	0.0385	0.6059	0.5001	0.0048	0.0031	567.9853	0.6353	
nsga150k2x	PARM	2729560	99	0.0000	0.7028	0.4929	0.0046	0.0035	909.3686	0.6782	
nsga150k2x	PARM	2740118	98	0.0513	0.6582	0.4989	0.0040	0.0028	576.2066	0.6197	
nsga150k2x	PARM	2738721	88	0.0385	0.6336	0.4973	0.0045	0.0039	1151.7517	0.6953	
nsga150k2x	PARM	2729330	98	0.0256	0.6502	0.4947	0.0043	0.0034	446.1192	0.7236	
nsga150k2x	PARM	2731596	106	0.0000	0.6230	0.4888	0.0045	0.0034	507.1242	0.6630	
nsga150k2x	PARM	2737142	117	0.0000	0.7437	0.4891	0.0056	0.0033	1106.0037	0.8293	
nsga150k2x	PARM	2732169	94	0.0385	0.6439	0.5015	0.0041	0.0030	401.1203	0.6512	
nsga150k2x	PARM	2736503	99	0.0128	0.6437	0.4929	0.0048	0.0036	1016.1954	0.6763	
nsga150k2x	PARM	2734607	103	0.0128	0.6638	0.4856	0.0047	0.0045	1441.6359	0.7215	
nsga150k2x	PARM	2735679	114	0.0128	0.6664	0.4805	0.0048	0.0037	1663.2033	0.6741	
nsga150k2x	PARM	2729600	100	0.0192	0.6281	0.4937	0.0048	0.0034	402.6507	0.5791	
nsga150k2x	PARM	2733612	99	0.0064	0.5985	0.4915	0.0045	0.0031	892.9506	0.6429	
nsga150k2x	PARM	2738090	101	0.0000	0.6616	0.4902	0.0044	0.0031	1050.4088	0.6061	
nsga150k2x	PARM	2735528	93	0.0321	0.6737	0.4999	0.0040	0.0028	39.3757	0.6201	
nsga150k2x	PARM	2736008	103	0.0192	0.6392	0.4992	0.0043	0.0028	687.7069	0.6166	
nsga150k2x	PARM	2735115	104	0.0192	0.7090	0.4963	0.0050	0.0031	699.7267	0.7247	
nsga150k2x	PARM	2733676	100	0.0256	0.5600	0.4933	0.0039	0.0034	931.2365	0.6059	
nsga150k2x	PARM	2738758	108	0.0128	0.6637	0.4950	0.0040	0.0029	552.6878	0.7209	
nsga150k2x	PARM	2737396	96	0.0192	0.6037	0.4942	0.0042	0.0029	257.1535	0.6069	
nsga150k2x	PARM	2619386	115	0.0192	0.6945	0.4911	0.0043	0.0033	906.4506	0.6340	
nsga150k2x	PSOA	2014760	143	0.0124	0.5862	0.4046	0.0039	0.0018	1797.6753	0.5042	
nsga150k2x	PSOA	2018386	144	0.0062	0.6495	0.4013	0.0060	0.0018	2046.6595	0.5037	
nsga150k2x	PSOA	2010212	144	0.0217	0.5469	0.4038	0.0038	0.0017	1718.1477	0.4754	
nsga150k2x	PSOA	2015989	144	0.0248	0.5992	0.4034	0.0033	0.0018	1896.5308	0.5011	
nsga150k2x	PSOA	2010396	143	0.0279	0.7791	0.4055	0.0098	0.0018	2049.7887	0.7023	
nsga150k2x	PSOA	2044504	144	0.0000	0.5743	0.3993	0.0038	0.0019	1819.9677	0.4315	
nsga150k2x	PSOA	2241054	143	0.0031	0.6273	0.4008	0.0043	0.0020	2005.3344	0.5335	
nsga150k2x	PSOA	2035317	144	0.0062	0.6416	0.3931	0.0068	0.0019	2635.9008	0.5476	
nsga150k2x	PSOA	2017359	144	0.0248	0.5798	0.4039	0.0029	0.0018	1953.1874	0.4817	
nsga150k2x	PSOA	2015170	144	0.0279	0.6185	0.4084	0.0038	0.0015	1887.7724	0.5067	
nsga150k2x	PSOA	2016078	144	0.0062	0.5740	0.3985	0.0038	0.0019	1702.4537	0.4386	
nsga150k2x	PSOA	2018419	143	0.0217	0.5952	0.4007	0.0040	0.0019	2145.1885	0.5365	
nsga150k2x	PSOA	2017808	144	0.0402	0.5690	0.4122	0.0034	0.0017	1008.5534	0.5330	
nsga150k2x	PSOA	2011509	143	0.0248	0.6102	0.4192	0.0040	0.0019	16.2000	0.5089	
nsga150k2x	PSOA	2018828	144	0.0217	0.5879	0.3990	0.0030	0.0019	2409.5650	0.5186	
nsga150k2x	PSOA	2031589	144	0.0248	0.5761	0.4067	0.0028	0.0017	1777.2669	0.4800	
nsga150k2x	PSOA	2013152	144	0.0186	0.5615	0.3938	0.0034	0.0021	2559.3890	0.4668	
nsga150k2x	PSOA	2016663	144	0.0155	0.5457	0.4088	0.0034	0.0018	708.7810	0.5136	
nsga150k2x	PSOA	2023156	144	0.0155	0.5648	0.4008	0.0032	0.0020	2036.8138	0.5098	
nsga150k2x	PSOA	2016395	144	0.0124	0.6596	0.3980	0.0039	0.0018	2011.6549	0.5481	
nsga150k2x	PSOA	2004007	144	0.0093	0.6171	0.3991	0.0050	0.0021	1894.9931	0.5072	
nsga150k2x	PSOA	2016888	143	0.0279	0.6406	0.4037	0.0039	0.0019	1623.6719	0.6051	
nsga150k2x	PSOA	2013643	142	0.0093	0.6800	0.4041	0.0041	0.0019	1030.3141	0.6279	
nsga150k2x	PSOA	2007301	143	0.0248	0.5832	0.3996	0.0031	0.0019	1975.3107	0.5254	
nsga150k2x	PSOA	2021555	144	0.0372	0.5990	0.4095	0.0028	0.0017	1375.5572	0.5348	
nsga150k2x	PSOA	2008372	144	0.0310	0.7113	0.4090	0.0047	0.0017	1136.8578	0.7076	
nsga150k2x	PSOA	2011756	144	0.0186	0.6061	0.4072	0.0033	0.0015	1700.4699	0.5299	
nsga150k2x	PSOA	2020781	144	0.0186	0.5405	0.4003	0.0037	0.0017	2302.8242	0.4385	
nsga150k2x	PSOA	2017291	144	0.0341	0.5863	0.4036	0.0031	0.0018	1801.0906	0.4871	
nsga150k2x	PSOA	2016076	143	0.0124	0.6336	0.4050	0.0036	0.0018	1872.1757	0.5682	
nsga150k2x	PSOA	2010740	141	0.0310	0.6557	0.4048	0.0049	0.0016	1695.6185	0.5695	
nsga150k2x	PSOA	2022031	144	0.0217	0.6322	0.4019	0.0038	0.0017	1662.2201	0.5613	
nsga150k2x	PSOA	2012069	144	0.0279	0.5577	0.4090	0.0034	0.0017	1188.6859	0.4645	
nsga150k2x	PSOA	2022940	144	0.0124	0.5994	0.4028	0.0035	0.0019	1594.8187	0.5553	
nsga150k2x	PSOA	2008411	144	0.0186	0.7712	0.3982	0.0105	0.0017	2405.7075	0.6298	
nsga150k2x	PSOA	2014211	144	0.0248	0.6125	0.4040	0.0030	0.0018	2269.5505	0.5521	
nsga150k2x	PSOA	2013904	144	0.0186	0.6247	0.4017	0.0035	0.0018	1759.8259	0.5272	
nsga150k2x	PSOA	2020527	144	0.0248	0.6640	0.4069	0.0040	0.0017	1383.4938	0.5804	
nsga150k2x	PSOA	2009721	144	0.0155	0.6250	0.4061	0.0039	0.0018	1167.7525	0.6029	
nsga150k2x	PSOA	2019080	139	0.0186	0.6680	0.4010	0.0056	0.0019	1829.2955	0.5255	
nsga150k2x	PSOA	2012435	143	0.0217	0.9136	0.3983	0.0168	0.0019	2514.9953	1.0472	
nsga150k2x	PSOA	2008998	144	0.0279	0.6126	0.3918	0.0043	0.0020	2771.7429	0.4928	
nsga150k2x	PSOA	2008158	143	0.0341	0.5777	0.4077	0.0033	0.0018	1663.3015	0.4976	
nsga150k2x	PSOA	2008013	144	0.0124	0.6317	0.4000	0.0055	0.0019	2214.9562	0.5215	
nsga150k2x	PSOA	2014722	140	0.0093	0.5883	0.4039	0.0045	0.0018	1023.2572	0.5336	
