config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga5k2x	OMET	240850	64	0.0154	0.6259	0.5136	0.0057	0.0041	1414.9300	0.6910	
nsga5k2x	OMET	241567	68	0.0000	0.5999	0.5005	0.0062	0.0056	1681.8289	0.6201	
nsga5k2x	OMET	240089	54	0.0538	0.6765	0.5181	0.0060	0.0043	1727.8319	0.7184	
nsga5k2x	OMET	239726	68	0.0154	0.5458	0.5104	0.0058	0.0041	1435.0579	0.5518	
nsga5k2x	PARM	508373	44	0.0130	0.8190	0.4689	0.0162	0.0105	1110.7880	0.7642	
nsga5k2x	PARM	505335	39	0.0260	0.7279	0.4879	0.0146	0.0088	407.6640	0.8393	
nsga5k2x	PARM	422819	31	0.0000	0.7032	0.4892	0.0113	0.0086	1283.6701	0.7285	
nsga5k2x	PARM	416292	43	0.0260	0.6738	0.5004	0.0102	0.0071	1136.1534	0.7335	
nsga5k2x	PARM	403944	38	0.0000	0.6609	0.4726	0.0144	0.0098	1245.3839	0.6953	
nsga5k2x	PARM	400768	44	0.0649	0.7080	0.5066	0.0126	0.0076	13.9272	0.7825	
nsga5k2x	PARM	399966	40	0.0260	0.6643	0.4705	0.0122	0.0110	1931.1229	0.7493	
nsga5k2x	PARM	396602	41	0.0000	0.6356	0.4882	0.0129	0.0099	1304.8800	0.7506	
nsga5k2x	PARM	392263	38	0.0519	0.6132	0.5024	0.0104	0.0071	915.2784	0.7122	
nsga5k2x	PARM	395630	39	0.0390	0.6804	0.4867	0.0140	0.0094	669.6378	0.7130	
nsga5k2x	PARM	393868	42	0.0130	0.7012	0.4710	0.0150	0.0104	1700.2663	0.7607	
nsga5k2x	PARM	393786	45	0.0000	0.7943	0.4590	0.0200	0.0107	2062.5184	0.7913	
nsga5k2x	PARM	393282	48	0.0000	0.6102	0.4787	0.0116	0.0083	1189.7804	0.6596	
nsga5k2x	PARM	393071	38	0.0130	0.6040	0.4582	0.0158	0.0111	2215.8445	0.6113	
nsga5k2x	PARM	393771	42	0.0130	0.6645	0.4722	0.0132	0.0118	1818.1039	0.7710	
nsga5k2x	PARM	394118	37	0.0390	0.7128	0.4921	0.0118	0.0113	531.3802	0.7819	
nsga5k2x	PARM	393185	36	0.0130	0.6227	0.4801	0.0140	0.0089	922.5477	0.5875	
nsga5k2x	PARM	450856	37	0.0130	0.6107	0.4556	0.0123	0.0126	2585.6984	0.6708	
nsga5k2x	PARM	409150	46	0.0000	0.6073	0.4558	0.0153	0.0104	1639.1038	0.7024	
nsga5k2x	PARM	411326	35	0.0130	0.7051	0.4711	0.0161	0.0107	1469.9811	0.7437	
nsga5k2x	PARM	395668	49	0.0260	0.6901	0.4790	0.0146	0.0100	25.3709	0.7186	
nsga5k2x	PARM	394262	44	0.0260	0.6573	0.4647	0.0138	0.0099	778.0124	0.7450	
nsga5k2x	PARM	393078	41	0.0130	0.6092	0.4881	0.0111	0.0093	1229.2259	0.6408	
