=============================================================
Instance #0
=============================================================

Cycle #0 (97915 ms; 21 best solutions)
18,7986; 182,5; 98532,0684;  [1 2 1 3 8 8 2 8 7 6 2 1 7 6 1 1 8 2 3 2 8 7 5 3 8 5 2 5 3 4 3 1 5 3 8 1 9 1 7 1]
41,4075; 142,8; 92732,1296;  [6 9 7 9 2 1 6 1 3 6 8 1 1 1 5 7 4 2 5 9 4 1 6 8 3 7 6 2 9 7 2 6 2 3 4 6 3 2 6 9]

Cycle #1 (91436 ms; 26 best solutions)
44,135; 142,9; 94417,887;  [2 1 8 2 5 9 3 9 1 4 3 8 5 3 9 4 2 3 8 7 3 5 8 9 9 5 1 8 4 4 8 3 2 9 4 5 2 7 4 9]
38,9307; 144,3; 91968,2525;  [7 3 2 8 1 1 1 8 3 2 7 8 1 5 5 8 4 2 8 5 1 3 4 6 3 3 4 7 4 4 2 2 1 1 7 6 9 9 4 8]
24,6308; 155,6; 88963,9662;  [2 5 3 7 7 2 2 2 2 8 4 1 4 9 2 3 4 5 6 6 5 1 4 3 6 1 5 7 4 5 7 6 3 2 2 4 1 2 3 2]
33,1102; 147,7; 90185,9293;  [4 8 4 3 8 6 1 3 1 1 5 1 2 2 3 8 3 7 2 4 1 4 6 7 4 6 9 7 3 3 1 4 4 7 8 5 3 3 4 8]
27,1892; 153,7; 89601,669;  [1 1 3 8 8 4 3 2 4 2 2 2 2 9 3 1 2 5 3 5 3 1 2 8 2 3 5 5 9 6 9 2 8 6 3 4 9 4 1 7]
27,7326; 149; 87639,0849;  [1 2 4 5 1 2 5 2 2 5 2 9 1 7 1 4 2 1 6 8 5 2 5 3 7 4 1 9 5 2 4 8 1 6 4 3 1 2 3 4]
34,3019; 146,7; 90414,2927;  [4 1 1 7 6 5 3 6 1 3 3 5 1 3 1 5 3 6 4 2 1 7 2 8 9 9 4 9 1 5 7 8 4 2 3 9 5 4 7 6]
31,2668; 148,4; 89518,7224;  [1 4 7 3 4 9 3 4 2 4 3 2 4 4 1 7 2 8 1 1 4 5 3 8 5 4 9 9 7 3 3 7 2 8 6 2 2 2 2 9]
44,5759; 141,5; 94007,0441;  [5 7 2 6 1 8 6 9 3 1 8 8 3 9 5 9 1 9 8 8 5 7 4 8 5 5 1 8 6 4 7 1 3 1 7 9 1 2 4 8]
39,7527; 143,1; 91858,4807;  [2 6 2 5 4 3 5 9 2 2 7 9 4 1 6 5 3 7 9 8 4 6 3 7 3 4 6 1 3 4 1 8 5 8 8 9 4 1 6 5]
16,8431; 173; 92841,2421;  [3 3 2 4 3 7 5 7 2 9 3 1 8 5 1 2 4 9 1 2 4 9 2 1 7 9 6 1 2 1 1 4 9 4 6 3 9 5 6 1]
35,7267; 144,7; 90263,809;  [3 5 1 7 5 4 5 8 1 8 2 8 1 6 4 8 4 6 6 6 1 1 4 9 3 1 6 3 2 8 3 9 8 6 7 5 5 3 3 4]
34,3645; 146,3; 90220,1737;  [6 1 8 1 8 5 3 5 2 3 4 6 5 3 3 4 4 3 5 7 1 5 3 7 4 1 7 6 4 3 4 8 3 1 5 4 1 6 2 7]
39,7585; 143; 91778,3679;  [2 4 5 5 3 7 4 4 4 9 3 9 1 3 5 9 3 4 9 5 3 2 7 4 6 4 7 7 3 7 7 4 6 1 5 7 4 5 3 7]
37,3643; 144,5; 91065,6601;  [2 1 4 4 8 9 3 5 1 4 8 6 3 5 8 5 1 1 5 4 1 3 5 5 4 2 8 5 7 5 4 3 6 4 6 9 6 2 3 8]
27,7249; 152,7; 89460,6528;  [1 1 9 2 7 1 3 1 1 5 4 6 1 1 7 1 1 7 7 6 1 7 2 8 4 1 2 1 3 9 1 7 2 6 3 2 3 1 4 4]
21,1258; 160,9; 89486,1908;  [3 4 7 2 3 6 4 5 3 7 4 6 1 5 3 4 3 6 1 2 2 4 9 1 9 6 8 2 7 2 4 3 1 4 3 3 3 6 3 1]
32,8081; 148; 90155,2065;  [4 2 7 8 8 8 3 9 2 2 5 1 1 3 9 9 1 5 3 1 1 1 4 3 1 7 5 2 3 4 2 5 3 3 1 9 7 5 4 6]
19,8218; 161,1; 88843,1393;  [8 2 1 3 1 2 8 1 1 6 2 5 1 1 1 6 1 1 7 6 6 2 1 3 7 8 7 2 4 5 2 1 1 2 4 8 5 1 1 2]
22,3087; 156,8; 88255,1453;  [6 1 1 8 3 4 4 7 1 3 6 1 2 1 2 7 1 5 1 9 2 5 3 1 1 9 9 2 2 1 1 3 8 5 6 8 9 1 3 2]
18,6913; 166,2; 90619,0032;  [6 7 2 3 5 7 1 3 6 4 3 4 3 4 2 1 3 8 5 1 4 5 4 3 6 6 7 6 5 4 6 3 6 2 7 2 3 3 1 1]
34,3811; 145,7; 90000,3015;  [2 4 2 8 8 2 2 8 4 5 3 8 6 2 5 6 3 2 3 4 3 3 2 9 1 4 8 7 7 7 4 7 2 1 2 4 9 1 1 7]
25,7492; 153,8; 88777,552;  [1 4 5 9 1 6 4 2 3 2 4 8 2 2 4 1 1 6 5 5 3 2 6 1 6 2 3 2 9 7 4 8 2 8 4 1 6 3 5 3]
30,4634; 148,8; 89154,4485;  [3 1 9 3 1 5 3 2 3 8 6 7 2 2 2 5 2 6 2 4 8 4 4 5 2 3 6 1 4 2 5 6 3 4 1 8 2 3 2 7]

Cycle #2 (90681 ms; 27 best solutions)
45,595; 140,9; 94311,6037;  [2 4 6 7 7 6 6 9 2 4 4 7 2 5 4 2 4 3 9 9 4 6 2 9 7 1 7 4 7 8 8 9 4 5 2 4 2 4 8 9]
27,2631; 151,7; 88729,4432;  [6 1 4 1 1 3 8 2 1 7 2 5 2 2 4 1 2 7 2 3 6 3 2 6 3 2 2 3 5 3 1 5 6 1 2 9 9 2 2 9]
31,6264; 147,8; 89335,7004;  [6 1 2 9 2 3 3 4 1 9 5 7 2 1 4 8 2 8 1 8 2 5 4 4 3 8 5 1 2 5 1 9 2 4 8 4 4 1 4 6]
23,0391; 157,3; 88911,1605;  [4 5 2 6 2 3 8 6 4 5 9 8 2 1 1 7 4 2 1 4 5 5 1 1 8 7 4 4 5 1 3 1 5 9 2 5 2 4 2 3]
19,8339; 159,8; 88266,5899;  [1 6 6 2 1 7 1 2 3 4 8 9 6 4 3 2 3 2 2 4 2 5 1 3 5 6 2 6 7 3 6 2 1 7 3 9 4 3 1 1]
22,6755; 159,3; 89677,0917;  [4 6 8 9 4 4 1 6 3 9 2 9 3 9 1 5 3 1 3 2 1 3 1 3 6 3 8 4 3 9 5 2 8 2 4 2 8 5 1 2]
39,392; 143,2; 91618,6991;  [1 4 5 8 7 3 7 6 4 3 4 5 3 4 9 4 4 2 5 5 1 2 4 6 1 6 9 5 3 6 5 6 4 9 1 9 4 3 6 6]
33,3557; 145,3; 89129,9822;  [2 2 5 6 7 3 5 6 4 8 4 4 2 2 7 6 1 3 2 3 1 2 6 9 9 3 4 4 1 3 1 4 6 3 4 7 3 2 4 5]
19,929; 159,4; 88084,8412;  [4 6 3 1 5 6 4 2 3 4 2 4 4 2 2 2 2 2 9 3 4 2 2 1 2 6 3 6 6 6 8 1 1 2 6 5 2 1 5 2]
41,9092; 141,2; 92217,3209;  [5 6 5 8 7 2 5 5 1 2 5 3 1 4 5 8 1 5 8 8 7 2 4 9 9 5 4 8 8 2 6 7 1 4 4 4 3 6 3 7]
39,8881; 142; 91392,6742;  [7 3 6 9 3 9 9 7 3 4 4 7 1 5 4 8 1 4 5 9 4 7 4 7 1 5 3 8 8 2 5 7 2 3 5 4 3 2 5 4]
36,4336; 143,4; 90168,8971;  [3 4 3 8 3 1 7 9 3 7 1 7 3 8 2 8 2 2 9 2 2 1 8 9 1 2 1 2 7 4 3 4 9 5 1 8 1 1 2 9]
23,298; 156; 88468,8934;  [2 6 1 5 4 1 2 2 1 1 5 6 2 5 1 8 5 7 7 3 1 4 3 8 3 4 1 5 8 6 2 8 8 4 1 1 5 1 3 1]
23,6587; 152,2; 86812,7678;  [1 5 5 1 1 5 4 8 2 6 1 2 1 1 4 9 2 4 6 1 4 3 1 5 5 1 2 8 4 5 5 5 5 5 2 4 2 4 1 3]
33,2126; 145,9; 89375,3615;  [1 3 1 3 3 1 4 5 1 7 2 7 3 5 5 7 4 6 5 5 2 1 2 6 3 6 4 8 9 1 3 1 4 8 9 4 1 1 5 9]
17,6703; 168,8; 91295,1533;  [9 7 3 3 5 6 3 4 6 3 3 6 8 2 1 1 5 4 4 8 3 4 1 2 2 1 1 8 4 6 3 1 9 5 1 7 2 3 1 1]
28,0839; 150,4; 88510,5004;  [5 3 7 6 4 4 1 8 2 5 3 8 3 3 1 9 2 3 4 1 4 4 7 4 1 4 3 5 1 2 2 5 6 9 5 8 1 4 5 2]
29,1923; 148,5; 88218,9158;  [1 2 2 7 4 1 3 5 3 4 4 1 2 6 3 7 2 3 5 4 4 3 6 7 8 2 5 1 8 1 3 3 3 4 2 7 3 3 6 4]

Cycle #3 (90755 ms; 27 best solutions)
24,2178; 155,3; 88614,3284;  [1 2 5 4 6 4 5 2 2 3 1 5 3 5 1 1 3 3 4 7 5 4 2 1 4 4 6 7 7 2 4 1 6 4 4 9 8 4 6 4]
21,7659; 159,8; 89325,7594;  [4 9 2 5 8 6 1 7 4 6 4 1 4 4 5 5 2 2 2 2 1 3 7 4 4 4 1 1 9 2 3 2 4 4 4 1 7 5 2 3]
21,2098; 164,5; 91292,903;  [3 4 9 2 5 5 4 1 5 4 4 8 6 5 2 2 4 3 5 8 6 6 2 2 7 6 1 3 5 1 5 3 8 7 5 4 5 5 1 1]
