config	inst	time	count	best	spr	hv	gd	
rs50k	#1	844494	38	0.0000	0.7784	0.1852	0.0564	
rs50k	#1	843693	32	0.0000	0.6563	0.1933	0.0568	
rs50k	#1	843562	41	0.0000	0.6786	0.1850	0.0495	
rs50k	#1	844261	36	0.0000	0.6833	0.1845	0.0530	
rs50k	#1	843511	49	0.0000	0.7719	0.1848	0.0482	
rs50k	#1	843284	40	0.0000	0.7094	0.1821	0.0505	
rs50k	#1	843611	41	0.0000	0.7331	0.1858	0.0541	
rs50k	#1	844207	40	0.0000	0.6998	0.1872	0.0478	
rs50k	#1	843353	45	0.0000	0.7533	0.1829	0.0494	
rs50k	#1	843369	36	0.0000	0.7317	0.1805	0.0532	
rs50k	#1	843224	36	0.0000	0.6698	0.1909	0.0500	
rs50k	#1	843735	38	0.0000	0.8356	0.1938	0.0533	
rs50k	#1	844214	38	0.0000	0.6998	0.1847	0.0544	
rs50k	#1	843383	35	0.0000	0.7113	0.2003	0.0506	
rs50k	#1	843263	40	0.0000	0.7641	0.1786	0.0549	
rs50k	#1	843652	43	0.0000	0.7184	0.1900	0.0461	
rs50k	#1	844129	40	0.0000	0.7075	0.1834	0.0555	
rs50k	#1	843111	40	0.0000	0.6899	0.1908	0.0491	
rs50k	#1	843337	47	0.0000	0.7600	0.1861	0.0488	
rs50k	#1	843400	48	0.0000	0.6783	0.1768	0.0464	
rs50k	#1	843493	31	0.0000	0.6506	0.1892	0.0578	
rs50k	#1	844111	37	0.0000	0.7290	0.2052	0.0465	
rs50k	#1	843487	41	0.0000	0.6641	0.1806	0.0516	
rs50k	#1	843594	34	0.0000	0.7022	0.1931	0.0601	
rs50k	#1	843606	45	0.0000	0.7201	0.1911	0.0464	
rs50k	#1	844216	45	0.0000	0.8366	0.1772	0.0520	
rs50k	#1	843475	33	0.0000	0.7179	0.1802	0.0615	
rs50k	#1	843436	32	0.0000	0.6941	0.1948	0.0569	
rs50k	#1	843544	44	0.0000	0.7211	0.1831	0.0482	
rs50k	#1	843334	45	0.0000	0.7261	0.1764	0.0471	
rs50k	#1	843995	32	0.0000	0.7279	0.1931	0.0549	
rs50k	#1	843637	36	0.0000	0.6914	0.1921	0.0522	
rs50k	#1	843587	44	0.0000	0.6540	0.1792	0.0498	
rs50k	#1	843641	38	0.0000	0.6924	0.1847	0.0531	
rs50k	#1	845440	36	0.0000	0.7405	0.1948	0.0585	
rs50k	#1	842969	43	0.0000	0.6826	0.1899	0.0504	
rs50k	#1	843383	47	0.0000	0.7192	0.1779	0.0474	
rs50k	#1	842933	36	0.0000	0.7249	0.1938	0.0513	
rs50k	#1	843084	40	0.0000	0.7477	0.1857	0.0506	
rs50k	#1	843873	55	0.0000	0.6890	0.1773	0.0442	
rs50k	#1	843228	43	0.0000	0.7196	0.1881	0.0477	
rs50k	#1	844033	34	0.0000	0.7325	0.1946	0.0542	
rs50k	#1	844141	43	0.0000	0.6968	0.1826	0.0524	
rs50k	#1	844925	30	0.0000	0.6934	0.1814	0.0591	
rs50k	#1	844647	28	0.0000	0.8583	0.2156	0.0596	
rs50k	#1	843316	33	0.0000	0.7498	0.1833	0.0557	
rs50k	#1	843117	40	0.0000	0.7422	0.1772	0.0569	
nsga50k2x	#2	1365834	61	0.0220	0.6248	0.4791	0.0097	
nsga50k2x	#2	1266060	51	0.0440	0.6544	0.4949	0.0092	
nsga50k2x	#2	1268851	52	0.0110	0.5915	0.4828	0.0094	
nsga50k2x	#2	1269164	45	0.0110	0.6287	0.4953	0.0081	
nsga50k2x	#2	1268429	50	0.0769	0.7719	0.5073	0.0084	
nsga50k2x	#2	1267914	56	0.0330	0.5810	0.5093	0.0064	
nsga50k2x	#2	1267804	72	0.0000	0.6991	0.4617	0.0098	
nsga50k2x	#2	1268293	63	0.0110	0.7528	0.4984	0.0098	
nsga50k2x	#2	1267764	60	0.0220	0.6228	0.4912	0.0085	
nsga50k2x	#2	1263624	52	0.0110	0.7425	0.4858	0.0115	
nsga50k2x	#2	1265095	47	0.0110	0.5604	0.4859	0.0092	
nsga50k2x	#2	1269179	54	0.0110	0.5831	0.4777	0.0090	
nsga50k2x	#2	1263979	51	0.0110	0.6499	0.4971	0.0085	
nsga50k2x	#2	1265675	56	0.0000	0.6851	0.4796	0.0097	
nsga50k2x	#2	1266611	61	0.0110	0.7134	0.4857	0.0087	
nsga50k2x	#2	1265350	53	0.0220	0.6487	0.4798	0.0093	
nsga50k2x	#2	1264199	50	0.0220	0.6223	0.4863	0.0096	
nsga50k2x	#2	1264994	47	0.0110	0.6473	0.4944	0.0082	
nsga50k2x	#2	1265156	55	0.0110	0.7134	0.4830	0.0108	
nsga50k2x	#2	1265505	53	0.0330	0.6462	0.4947	0.0083	
nsga50k2x	#2	1265362	51	0.0330	0.7691	0.4985	0.0086	
nsga50k2x	#2	1263516	54	0.0110	0.7496	0.4961	0.0080	
nsga50k2x	#2	1266423	61	0.0220	0.5392	0.4738	0.0097	
nsga50k2x	#2	1265186	47	0.0000	0.6123	0.4855	0.0106	
nsga50k2x	#2	1267084	59	0.0220	0.5701	0.4956	0.0084	
nsga50k2x	#2	1263880	67	0.0110	0.7416	0.4856	0.0096	
nsga50k2x	#2	1267132	68	0.0000	0.6452	0.4716	0.0096	
nsga50k2x	#2	1268118	58	0.0440	0.6838	0.4923	0.0081	
nsga50k2x	#2	1265644	54	0.0000	0.5661	0.4854	0.0082	
nsga50k2x	#2	1264805	58	0.0769	0.7007	0.5034	0.0093	
nsga50k2x	#2	1263826	62	0.0110	0.5925	0.4885	0.0086	
nsga50k2x	#2	1268177	55	0.0440	0.6024	0.4930	0.0094	
nsga50k2x	#2	1264813	60	0.0220	0.5656	0.4925	0.0087	
nsga50k2x	#2	1265068	56	0.0000	0.6221	0.4687	0.0095	
nsga50k2x	#2	1262728	62	0.0110	0.5977	0.4669	0.0109	
nsga50k2x	#2	1267144	58	0.0330	0.6073	0.4949	0.0075	
nsga50k2x	#2	1508470	55	0.0000	0.6907	0.4779	0.0086	
nsga50k2x	#2	1323884	51	0.0110	0.6989	0.4935	0.0091	
nsga50k2x	#2	1271455	63	0.0110	0.7100	0.4725	0.0090	
nsga50k2x	#2	1270622	53	0.0000	0.6291	0.4920	0.0085	
nsga50k2x	#2	1270624	57	0.0110	0.6732	0.4835	0.0103	
nsga50k2x	#2	1270222	54	0.0440	0.7179	0.5042	0.0087	
nsga50k2x	#2	1273894	50	0.0330	0.6593	0.4914	0.0080	
nsga50k2x	#2	1271576	46	0.0440	0.7041	0.5013	0.0097	
nsga50k2x	#2	1274127	58	0.0110	0.7275	0.4888	0.0090	
nsga50k2x	#2	1271256	56	0.0110	0.7056	0.4832	0.0106	
nsga50k2x	#2	1270708	56	0.0110	0.7605	0.5030	0.0080	
nsga50k2x	#2	1272421	58	0.0549	0.6926	0.5046	0.0082	
nsga50k2x	#2	1272197	52	0.0330	0.6467	0.5018	0.0076	
nsga50k2x	#2	1268970	57	0.0000	0.6649	0.4901	0.0086	
rs50k	#2	988666	20	0.0000	0.7705	0.0421	0.1318	
rs50k	#2	976861	20	0.0000	0.6855	0.0362	0.1454	
rs50k	#2	975680	27	0.0000	0.8265	0.0270	0.1388	
rs50k	#2	976765	17	0.0000	0.8619	0.0636	0.1647	
rs50k	#2	976570	20	0.0000	0.8453	0.0316	0.1606	
rs50k	#2	976639	19	0.0000	0.7320	0.0383	0.1465	
rs50k	#2	975316	16	0.0000	0.8633	0.0379	0.1532	
rs50k	#2	975458	20	0.0000	0.8127	0.0348	0.1499	
rs50k	#2	976383	23	0.0000	0.8779	0.0353	0.1289	
rs50k	#2	975398	21	0.0000	0.7663	0.0364	0.1393	
rs50k	#2	975068	18	0.0000	0.7564	0.0314	0.1371	
rs50k	#2	975596	22	0.0000	0.8519	0.0399	0.1471	
rs50k	#2	976116	22	0.0000	0.8103	0.0411	0.1237	
rs50k	#2	976523	25	0.0000	0.8163	0.0349	0.1305	
rs50k	#2	976537	19	0.0000	0.8879	0.0293	0.1360	
rs50k	#2	977064	23	0.0000	0.7572	0.0284	0.1494	
rs50k	#2	977572	14	0.0000	0.8329	0.0524	0.1591	
rs50k	#2	976820	22	0.0000	0.7784	0.0370	0.1441	
rs50k	#2	976255	21	0.0000	0.7859	0.0437	0.1478	
rs50k	#2	975019	20	0.0000	0.7565	0.0299	0.1619	
rs50k	#2	976530	14	0.0000	0.7609	0.0594	0.1630	
rs50k	#2	975573	17	0.0000	0.7653	0.0497	0.1802	
rs50k	#2	977163	20	0.0000	0.8452	0.0490	0.1529	
rs50k	#2	975980	17	0.0000	0.7818	0.0384	0.1295	
rs50k	#2	976464	20	0.0000	0.8136	0.0450	0.1434	
rs50k	#2	975591	20	0.0000	0.8125	0.0316	0.1433	
rs50k	#2	977141	22	0.0000	0.8684	0.0390	0.1453	
