config	inst	time	count	best	spr	hv	gd	
rs5k	I3	344517	16	0	0.6651	0.4395	0.0462	
rs5k	I3	346139	14	1	0.6804	0.4742	0.0440	
rs5k	I3	345327	20	0	0.5551	0.3879	0.0493	
rs5k	I3	345520	18	0	0.7884	0.4584	0.0778	
rs5k	I3	344416	20	0	0.7849	0.4321	0.0468	
rs5k	I3	344494	23	0	0.5878	0.4069	0.0383	
rs5k	I3	344523	20	2	0.7685	0.5081	0.0532	
rs5k	I3	344758	18	0	0.6435	0.4831	0.0417	
rs5k	I3	344939	24	0	0.5928	0.3984	0.0358	
rs5k	I3	343706	17	2	0.7739	0.5069	0.0807	
rs5k	I3	344411	29	0	0.8421	0.3683	0.0585	
rs5k	I3	345453	18	0	0.5757	0.4054	0.0443	
rs5k	I3	344277	22	0	0.5830	0.4138	0.0380	
rs5k	I3	344552	19	0	0.7604	0.4956	0.0604	
rs5k	I3	345078	19	1	0.6842	0.4528	0.0391	
rs5k	I3	344332	20	1	0.7635	0.4741	0.0524	
rs5k	I3	344776	20	1	0.7416	0.5381	0.0399	
rs5k	I3	344781	21	1	0.5339	0.4652	0.0356	
rs5k	I3	345929	18	1	0.6536	0.4890	0.0365	
rs5k	I3	345240	24	0	0.8792	0.4269	0.0570	
rs5k	I3	344711	24	0	0.5859	0.4305	0.0366	
rs5k	I4	118818	27	1	0.7675	0.4006	0.0302	
rs5k	I4	119402	25	0	0.6783	0.4113	0.0292	
rs5k	I4	118987	28	0	0.6129	0.4158	0.0243	
rs5k	I4	118778	30	1	0.7715	0.3775	0.0329	
rs5k	I4	118941	28	3	0.6681	0.4507	0.0320	
rs5k	I4	119113	23	1	0.7904	0.4217	0.0316	
rs5k	I4	118720	38	1	0.7373	0.3946	0.0262	
rs5k	I4	118917	31	0	0.7189	0.4121	0.0260	
rs5k	I4	118768	24	1	0.5627	0.3979	0.0292	
rs5k	I4	118872	30	1	0.6899	0.3712	0.0277	
rs5k	I4	119218	29	0	0.7381	0.3740	0.0346	
rs5k	I4	118971	26	0	0.8359	0.4005	0.0315	
rs5k	I4	118980	24	3	0.7020	0.4460	0.0263	
rs5k	I4	119080	27	1	0.7450	0.3938	0.0286	
rs5k	I4	119248	25	1	0.8230	0.4298	0.0284	
rs5k	I4	118966	23	0	0.6550	0.3965	0.0290	
rs5k	I4	119115	31	0	0.6522	0.4086	0.0243	
