inst	noh	mks	cst
I0	38.4066	136.3	87835.165
I0	20.6196	151	84478.4058
I0	20.2325	151.3	84393.3457
I0	31.5192	140.7	85908.1782
I0	14.042	157.5	83744.514
I0	33.3284	139.3	86275.2982
I0	33.4111	139	86188.1602
I0	7.9396	163.5	83095.8494
I0	16.5591	154.9	83960.7383
I0	35.14	137.8	86642.6349
I0	14.8267	156.6	83795.4883
I0	19.1596	152.3	84216.4172
I0	34.786	138.2	86614.9582
I0	2.6992	169.7	83034.8195
I0	21.5425	149.9	84420.1935
I0	8.2589	163.2	83132.8596
I0	22.2516	149.3	84581.1926
I0	15.8583	155.7	83944.8377
I0	16.2239	155.2	83895.2782
I0	24.5098	147.1	84831.9407
I1	46.1044	435	235416.7715
I1	45.4425	436.7	235829.1426
I1	86.3987	399.4	241884.237
I1	73.9439	409.4	239492.6658
I1	94.3386	394.1	244008.6746
I1	75.16	407.1	239081.9451
I1	69.7873	411.9	238213.2383
I1	60.7917	420.7	237308.1198
I1	25.6411	456.2	233790.6326
I1	60.2985	421.6	237371.3481
I1	85.2439	400.3	241670.5394
I1	127.3733	382.3	257863.2665
I1	122.4635	383.9	255851.8679
I1	110.888	387	250376.6349
I1	90.756	396	242796.9272
I1	114.0557	384.8	251152.3121
I1	103.2613	389.7	247074.0166
I1	73.2059	409.7	239152.7782
I1	34.9012	446.1	234284.71
I1	47.7169	433.6	235668.284
I1	51.778	428.8	235872.1291
I1	12.3221	470.8	233116.8622
I1	94.4558	393.3	243670.484
I1	38.2494	443.6	235017.6099
I1	36.1924	445.8	234920.1296
I1	78.9533	404.6	240018.6334
I1	90.028	396.9	242803.3031
I1	26.1276	455.2	233589.7418
I1	80.3608	404.2	240635.2523
I1	27.7583	453.7	233845.3994
I1	87.0591	398.6	241885.6722
I1	143.5198	379.2	266048.2706
I1	53.6693	428.3	236811.4304
I1	14.9463	467.4	233007.7377
I1	137.6269	380	262912.0334
I1	131.973	381	260077.2408
I1	80.0085	404.5	240624.1058
I1	132.7351	380.2	260134.3956
I1	59.6936	421.8	237165.4074
I1	27.1397	454.4	233813.9708
I1	19.8339	461.8	233152.3779
I1	62.8746	419.2	237753.795
I1	32.6922	449	234395.5294
I1	57.7799	423.8	236772.9241
I1	42.5247	438.5	235217.1048
I1	10.3174	471.7	232397.5454
I1	17.3024	464.1	232784.3623
I1	68.5844	412.7	237912.5512
I1	27.1661	454	233665.4774
I1	45.9394	435.6	235758.6497
I1	48.2888	433.2	235864.7563
I1	15.2108	467	232970.0477
I1	80.6364	403.5	240560.9457
I1	53.7982	427.2	236138.5272
I1	19.0674	462.2	232856.0413
I1	65.2136	416.8	237947.3847
I1	71.5941	411	238874.5101
I1	39.7303	441	234724.6056
I1	95.637	393.2	244368.6835
I1	57.4793	424.5	237135.2326
I1	82.3972	401.8	240688.3288
I1	20.9015	461.2	233443.5289
I1	45.5488	436.3	235729.8812
I1	127.6859	381.9	257884.2467
I1	80.7475	403.1	240470.7426
I1	80.2863	404.2	240638.3765
I1	60.7583	421.2	237257.8547
I1	56.4539	424.9	236673.7477
I1	45.9563	435.7	235721.6967
I1	56.5376	424.8	236754.535
I1	100.5708	390.2	245723.9853
I1	28.1173	453.6	234014.3519
I1	83.3355	400.7	240806.3775
I1	77.4803	406.4	240153.1155
I1	110.7419	387.3	250412.3303
I1	85.1303	400.5	241762.4854
I1	65.5343	416.7	237980.9973
I1	96.0312	393.1	244485.0869
I1	38.3292	443.3	234923.429
I1	38.4126	442.1	234393.4208
I1	85.7482	400.1	241816.6812
I1	41.2171	439.7	234833.4879
I1	68.3438	414	238473.8063
I1	74.5874	408.3	239319.0492
I1	64.7005	417.4	238003.1754
I1	88.776	397.9	242550.4572
I1	89.9044	397	242769.6545
I1	32.377	449.2	234327.3928
I1	71.5113	411.3	238887.0643
I1	63.1488	418.6	237630.4961
I1	64.652	417.7	238033.6955
I1	55.1441	425.6	236312.6633
I1	91.6984	394.6	242698.053
I1	59.0174	422.2	236735.4506
I1	21.0462	459.9	232919.9512
I1	89.8288	397.2	242874.4207
I1	54.4323	427.1	236683.2069
I1	50.0165	431.6	236060.4897
I1	44.154	437	235476.3562
I1	57.6843	423.4	236774.3736
I1	64.1678	418	237878.6175
I1	72.3234	410.4	238962.5899
I1	78.1576	405.3	239972.7307
I1	124.5859	382.9	256523.2525
I1	123.5177	383.4	256117.574
I1	43.7959	437.9	235489.1796
I1	55.9125	425.4	236505.5414
I1	17.9628	463.1	232679.5053
I1	48.6896	432.3	235596.9803
I1	65.9756	416.2	238135.3002
I1	89.3962	397.3	242605.1808
I1	66.7744	414.8	237890.5122
I1	87.4415	398.4	241994.3212
I1	87.0441	399.1	242179.3718
I1	91.1395	395.6	242813.8118
I1	117.2743	384.2	252833.7935
I1	58.9893	423.1	237324.6471
I1	122.7717	383.8	255824.7678
I1	44.7615	436.9	235587.4333
I1	100.3587	391	246019.0577
I1	107.4981	387.7	248678.6821
I1	53.7948	428	236563.6517
I1	88.08	398.3	242391.0475
I1	66.4014	415.8	238115.0226
I1	24.1368	457.7	233671.3292
I1	32.9421	448.4	234248.1117
I1	37.6689	444.2	234994.4038
I1	80.7047	403.4	240615.4837
I1	25.7181	455.5	233518.8515
I1	97.0527	391.8	244479.9471
I1	14.1551	467.7	232728.6315
I1	63.6301	418.3	237801.6328
I1	42.47	439.5	235500.1048
I1	90.7364	396.7	243177.7703
I1	80.6106	403.9	240745.2344
I1	110.4587	387.4	250297.7713
I1	50.5236	430.4	235859.3655
I1	27.6662	453.9	233886.0216
I1	123.032	383.6	255913.3638
I1	103.3332	389.5	247150.7313
I1	40.0456	440.7	234756.9336
I1	99.6843	391.5	245846.6663
I1	52.3829	428.7	236224.8159
I1	70.6975	411.6	238651.5955
I1	54.603	426.6	236265.8279
I1	45.725	436.2	235733.7999
I1	31.5396	449.5	233980.721
I1	77.3881	406.6	240178.7436
I1	73.9493	408.9	239240.7791
I1	96.1464	392.6	244333.8711
I1	66.4228	415.7	238097.4212
I1	16.9585	465.9	233486.8524
I1	57.5926	424.4	237122.5892
I1	25.6846	456	233731.5442
I1	32.8486	448.8	234451.4721
I1	36.3776	445.5	234915.0761
I1	16.0326	466.7	233300.1258
I1	86.3528	399.6	242074.6325
I1	67.4726	414.1	237996.1135
I1	88.9032	397.8	242574.2676
I1	49.31	432	236084.7339
I1	61.6885	419.5	237294.1002
I1	34.5328	446.5	234329.9577
I1	16.8983	466.2	233550.7131
I1	50.4603	431.1	236273.692
I1	58.7683	423.3	237174.1493
I1	42.1671	439.6	235353.8197
I1	113.9504	385.6	251466.8011
I1	28.5472	452.8	233860.9132
I1	72.962	409.8	239010.2013
I1	36.494	444.8	234611.2021
I1	127.0766	382.4	257774.4874
I1	137.6683	379.4	262668.3207
I1	32.928	448.4	234254.0186
I1	77.6388	406.2	240053.7847
I1	62.5276	419.4	237429.5585
I1	88.4808	398.2	242546.831
I1	110.9339	386.8	250230.211
I1	129.0939	381.4	258459.4471
I1	42.648	438.2	234952.8598
I1	21.8524	457.8	232371.7449
I1	80.9576	402.1	240083.702
I1	33.382	448.2	234409.6693
I1	24.2769	456.3	233033.93
I1	27.1085	454.6	233927.3842
I1	29.3476	452.5	234200.4821
I1	39.1749	441.8	234748.429
I1	45.0633	436.8	235703.9435
I1	113.0353	386.7	251504.6427
I1	29.7832	449.8	233134.8482
I1	106.2172	388.1	248073.1551
I1	47.4919	433.8	235643.1094
I1	35.5479	445.9	234572.7934
I1	14.1339	470.6	234086.9499
I1	48.5567	432.5	235886.2043
I1	33.4389	447.6	234200.2737
I1	37.3003	444.7	235002.7183
I1	46.4289	434.3	235477.7087
I1	26.4063	454.7	233491.6822
I1	29.5321	451.8	233955.1575
I1	44.0124	437.3	235349.2278
I1	20.6987	461.5	233521.7571
I1	104.3001	388.8	247242.0375
I1	72.8235	410.3	239220.237
I2	63.5307	366.9	212873.5557
I2	70.7375	361.2	214446.417
I2	107.5284	346.2	228869.765
I2	32.2382	397.2	209329.9726
I2	60.9917	369.1	212468.2023
I2	48.4283	380.2	210534.8762
I2	66.9038	363.6	213341.7676
I2	73.5254	358.6	214810.337
I2	25.4754	403.8	208577.9541
I2	25.5825	402.4	207958.2
I2	67.3449	363.4	213517.8501
I2	75.991	357.6	215761.4192
I2	75.2736	358.3	215709.2186
I2	64.4453	366.1	213052.0322
I2	80.7218	353.3	216491.557
I2	53.5478	375.4	211138.9879
I2	58.251	370.4	211485.3987
