config	inst	time	count	rfsz	best	spr	hv	gd	
nsga150k2x	I1	2337163	144	269	0.0409	0.6201	0.5132	0.0017	
nsga150k2x	I1	2323514	163	269	0.0112	0.6342	0.5098	0.0019	
nsga150k2x	I1	2326231	138	269	0.0149	0.6148	0.5103	0.0021	
nsga150k2x	I1	2327111	161	269	0.0074	0.6409	0.5021	0.0021	
nsga150k2x	I1	2330065	164	269	0.0260	0.6887	0.5063	0.0021	
nsga150k2x	I1	2327272	162	269	0.0372	0.6250	0.5121	0.0018	
nsga150k2x	I1	2327125	149	269	0.0297	0.6055	0.5092	0.0019	
nsga150k2x	I1	2331447	168	269	0.0335	0.6520	0.5088	0.0019	
nsga150k2x	I1	2338247	167	269	0.0483	0.6897	0.5109	0.0019	
nsga150k2x	I1	2337911	160	269	0.0223	0.6654	0.5082	0.0021	
nsga150k2x	I1	2326365	166	269	0.0186	0.6093	0.5042	0.0022	
nsga150k2x	I1	2331943	162	269	0.0149	0.5729	0.5082	0.0021	
nsga150k2x	I1	2338457	159	269	0.0149	0.6589	0.5052	0.0022	
nsga150k2x	I1	2324590	156	269	0.0223	0.6236	0.5061	0.0021	
nsga150k2x	I1	2326938	164	269	0.0260	0.6215	0.5060	0.0020	
nsga150k2x	I1	2330610	153	269	0.0186	0.6756	0.5073	0.0021	
nsga150k2x	I1	2331092	168	269	0.0112	0.6109	0.5069	0.0020	
nsga150k2x	I1	2329479	162	269	0.0186	0.6280	0.5070	0.0019	
nsga150k2x	I1	2334181	168	269	0.0149	0.5845	0.5082	0.0019	
nsga150k2x	I1	2335409	156	269	0.0112	0.6337	0.5077	0.0020	
nsga150k2x	I1	2329881	159	269	0.0037	0.6391	0.5075	0.0018	
nsga150k2x	I1	2336441	165	269	0.0223	0.6123	0.5078	0.0020	
nsga150k2x	I1	2319312	164	269	0.0112	0.5987	0.5022	0.0021	
nsga150k2x	I1	2328629	165	269	0.0186	0.5720	0.5103	0.0019	
nsga150k2x	I1	2334593	168	269	0.0149	0.6306	0.5058	0.0020	
nsga150k2x	I1	2323551	155	269	0.0260	0.6438	0.5044	0.0023	
nsga150k2x	I1	2331567	167	269	0.0149	0.5984	0.5070	0.0020	
nsga150k2x	I1	2326047	164	269	0.0223	0.6178	0.5084	0.0019	
rs150k	I1	3579820	65	269	0.0000	0.7289	0.2546	0.0330	
rs150k	I1	3580179	56	269	0.0000	0.7714	0.2618	0.0347	
rs150k	I1	3580250	54	269	0.0000	0.7822	0.2530	0.0347	
rs150k	I1	3640314	45	269	0.0000	0.8062	0.2524	0.0409	
rs150k	I1	3584181	46	269	0.0000	0.7088	0.2535	0.0415	
rs150k	I1	3598181	51	269	0.0000	0.6619	0.2575	0.0353	
rs150k	I1	3584469	65	269	0.0000	0.7341	0.2499	0.0345	
rs150k	I1	3613277	50	269	0.0000	0.7899	0.2533	0.0372	
rs150k	I1	3578329	62	269	0.0000	0.6807	0.2521	0.0338	
rs150k	I1	3580004	53	269	0.0000	0.6875	0.2513	0.0358	
rs150k	I1	3580451	55	269	0.0000	0.7175	0.2599	0.0343	
rs150k	I1	3579642	64	269	0.0000	0.7296	0.2551	0.0324	
rs150k	I1	3525283	62	269	0.0000	0.7000	0.2561	0.0334	
rs150k	I1	3492170	53	269	0.0000	0.8473	0.2662	0.0368	
rs150k	I1	3491785	61	269	0.0000	0.7458	0.2498	0.0355	
rs150k	I1	3492060	65	269	0.0000	0.7251	0.2470	0.0341	
rs150k	I1	3493883	55	269	0.0000	0.7416	0.2603	0.0358	
rs150k	I1	3494450	61	269	0.0000	0.6668	0.2467	0.0349	
rs150k	I1	3492537	62	269	0.0000	0.8026	0.2552	0.0343	
rs150k	I1	3490331	55	269	0.0000	0.7367	0.2495	0.0363	
rs150k	I1	3494137	53	269	0.0000	0.8424	0.2771	0.0336	
rs150k	I1	3492002	58	269	0.0000	0.7147	0.2560	0.0348	
rs150k	I1	2371569	46	269	0.0000	0.7777	0.2627	0.0380	
rs150k	I1	2369797	50	269	0.0000	0.7274	0.2541	0.0380	
rs150k	I1	2369441	49	269	0.0000	0.6757	0.2482	0.0373	
rs150k	I1	2368740	53	269	0.0000	0.8132	0.2473	0.0393	
rs150k	I1	2367471	58	269	0.0000	0.6789	0.2552	0.0338	
rs150k	I1	2415155	53	269	0.0000	0.7245	0.2583	0.0350	
rs150k	I1	2371448	57	269	0.0000	0.6735	0.2530	0.0348	
rs150k	I1	2367244	57	269	0.0000	0.7301	0.2471	0.0361	
rs150k	I1	2364095	51	269	0.0000	0.7541	0.2628	0.0356	
rs150k	I1	2394599	57	269	0.0000	0.6038	0.2528	0.0345	
rs150k	I1	2455814	58	269	0.0000	0.8018	0.2600	0.0368	
rs150k	I1	2370225	51	269	0.0000	0.6894	0.2549	0.0383	
rs150k	I1	2369949	54	269	0.0000	0.7468	0.2557	0.0350	
rs150k	I1	2368997	51	269	0.0000	0.6360	0.2517	0.0351	
rs150k	I1	2368372	43	269	0.0000	0.6020	0.2438	0.0423	
rs150k	I1	2368905	65	269	0.0000	0.7291	0.2513	0.0339	
rs150k	I1	2370569	68	269	0.0000	0.7949	0.2497	0.0312	
rs150k	I1	2372289	54	269	0.0000	0.6968	0.2575	0.0356	
rs150k	I1	2370266	58	269	0.0000	0.7272	0.2454	0.0374	
rs150k	I1	2371456	58	269	0.0000	0.7120	0.2495	0.0337	
rs150k	I1	2371745	54	269	0.0000	0.6934	0.2566	0.0362	
rs150k	I1	2375615	59	269	0.0000	0.7482	0.2594	0.0350	
rs150k	I1	2373471	50	269	0.0000	0.7545	0.2495	0.0384	
rs150k	I1	2371104	58	269	0.0000	0.8213	0.2635	0.0341	
rs150k	I1	2373722	54	269	0.0000	0.6689	0.2585	0.0358	
rs150k	I1	2374705	61	269	0.0000	0.7582	0.2508	0.0357	
rs150k	I1	2372967	61	269	0.0000	0.7967	0.2443	0.0355	
rs150k	I1	2370957	62	269	0.0000	0.8471	0.2580	0.0352	
nsga150k2x	I2	4264363	109	156	0.0128	0.6293	0.4943	0.0040	
nsga150k2x	I2	4236152	91	156	0.0256	0.7218	0.4933	0.0051	
nsga150k2x	I2	4230046	102	156	0.0256	0.7205	0.4919	0.0055	
nsga150k2x	I2	4241271	103	156	0.0128	0.6791	0.4941	0.0044	
nsga150k2x	I2	4236035	101	156	0.0064	0.6921	0.4941	0.0045	
nsga150k2x	I2	4232312	98	156	0.0128	0.7322	0.4933	0.0053	
nsga150k2x	I2	4225361	98	156	0.0256	0.6643	0.4976	0.0041	
nsga150k2x	I2	4266111	104	156	0.0192	0.6327	0.4932	0.0046	
nsga150k2x	I2	4269992	94	156	0.0128	0.6274	0.4960	0.0041	
nsga150k2x	I2	4280458	101	156	0.0128	0.6553	0.4870	0.0054	
nsga150k2x	I2	4274155	110	156	0.0321	0.7134	0.4954	0.0046	
nsga150k2x	I2	4269280	103	156	0.0256	0.7038	0.4968	0.0041	
nsga150k2x	I2	4268393	106	156	0.0192	0.7031	0.4918	0.0053	
nsga150k2x	I2	4280495	99	156	0.0192	0.6654	0.4935	0.0048	
nsga150k2x	I2	4268552	98	156	0.0128	0.7280	0.4942	0.0062	
nsga150k2x	I2	4279969	94	156	0.0128	0.6400	0.4951	0.0040	
nsga150k2x	I2	4270763	103	156	0.0321	0.7689	0.5038	0.0041	
nsga150k2x	I2	4152353	112	156	0.0321	0.7285	0.4952	0.0047	
nsga150k2x	I2	4106196	109	156	0.0321	0.6912	0.4960	0.0040	
nsga150k2x	I2	4097724	104	156	0.0064	0.7197	0.4888	0.0059	
nsga150k2x	I2	4100455	118	156	0.0256	0.6714	0.4987	0.0040	
nsga150k2x	I2	4098748	103	156	0.0064	0.6917	0.4929	0.0046	
nsga150k2x	I2	4094702	96	156	0.0449	0.6795	0.4999	0.0054	
nsga150k2x	I2	4090469	108	156	0.0192	0.6300	0.4966	0.0040	
nsga150k2x	I2	4103495	114	156	0.0064	0.6342	0.4844	0.0047	
nsga150k2x	I2	2927440	90	156	0.0128	0.6575	0.4995	0.0041	
nsga150k2x	I2	2736683	96	156	0.0192	0.6988	0.4975	0.0044	
nsga150k2x	I2	2738136	107	156	0.0192	0.7263	0.4932	0.0044	
nsga150k2x	I2	2737110	97	156	0.0513	0.6315	0.5030	0.0050	
nsga150k2x	I2	2729898	91	156	0.0385	0.6059	0.5001	0.0048	
nsga150k2x	I2	2729560	99	156	0.0000	0.7028	0.4929	0.0046	
nsga150k2x	I2	2740118	98	156	0.0513	0.6582	0.4989	0.0040	
nsga150k2x	I2	2738721	88	156	0.0385	0.6336	0.4973	0.0045	
nsga150k2x	I2	2729330	98	156	0.0256	0.6502	0.4947	0.0043	
