inst	noh	mks	cst
I2	31.3785	377.5	199343.0068
I2	54.1679	357.4	202896.516
I2	18.3633	388.5	197158.735
I2	81.8925	341	211265.077
I2	31.8244	377	199406.9787
I2	20.5792	385.4	196948.0851
I2	38.3621	371	200369.7669
I2	50.6104	360.5	202385.488
I2	100.7016	338.3	221041.8597
I2	28.2949	379.2	198408.1534
I2	27.2179	380.6	198444.8814
I2	29.2538	378.3	198533.2308
I2	99.2718	338.9	220507.8302
I2	43.3392	365.6	200566.1118
I2	60.1578	354.3	204998.9259
I2	45.0474	365.4	201441.7014
I2	52.3506	360.4	203375.4634
I2	67.7796	349.1	206885.8
I2	33.7493	373.2	198770.4063
I2	30.16	377.9	198865.6215
I2	62.1434	353.1	205538.1924
I2	48.7867	362.1	202061.0977
I2	66.7805	349.9	206720.0232
I2	72.8315	346	208364.4515
I2	38.6232	370.8	200354.2717
I2	38.2007	371.4	200480.8564
I2	13.8226	398.1	199126.1645
I2	25.6856	381.2	197835.8596
I2	16.8161	391	197433.6669
I2	24.1893	382.9	197831.3631
I2	57.7004	354.9	203805.6236
I2	57.1529	355.2	203637.1945
I2	42.8952	367.7	201313.1619
I2	53.0144	359	203060.7455
I2	46.1833	364.1	201522.5125
I2	26.4397	380.8	198082.5904
I2	59.9365	354.8	205103.312
I2	40.8514	369.6	201088.3909
I2	47.9625	363.3	202221.0615
I2	40.3299	369.7	200777.414
I2	35.8838	371.8	199230.9559
I2	92.519	339.6	216831.226
I2	55.7812	356.3	203374.3405
I2	88.9892	340.7	215318.4646
I2	62.1613	352.8	205460.3178
I2	32.1802	374.8	198584.4879
I2	52.5596	359.3	202930.9159
I2	39.1795	370.1	200351.0647
I2	31.297	377.8	199456.7911
I2	21.5352	385.1	197365.7245
I2	102.8073	337.6	221993.4749
I2	24.3396	381.7	197338.1159
I2	12.6491	398.4	198541.7054
I2	77.7181	344.8	210694.7441
I2	18.1304	389.9	197668.3605
I2	28.1482	379.8	198628.389
I2	23.5039	383	197504.8985
I2	48.0127	362.6	201817.1416
I2	31.7772	377.4	199593.7062
I2	26.2859	381.1	198169.0819
I2	77.4256	345	210632.7879
I2	37.6425	371.5	200155.9056
I2	42.0361	367.8	200985.7288
I2	57.1286	355.3	203646.3251
I2	16.2505	391.3	197233.1539
I2	27.5641	380.1	198383.822
I2	39.8994	369.8	200708.9688
I2	18.6633	387.2	196687.9799
I2	34.9073	372.7	199197.0348
I2	28.9005	378.7	198575.4119
I2	14.5425	396.4	198699.8732
I2	79.9851	341.8	210639.0044
I2	76.2253	345.6	210115.8383
I2	63.2248	351.9	205628.0529
I2	15.1518	391.9	196919.8702
I2	95.8231	339.2	218657.4301
I3	75.7269	510.7	289335.3472
I3	72.0147	514.3	288396.6862
I3	72.3638	512.9	288192.0439
I3	103.5126	484.6	293139.7319
I3	165.0907	449.4	312420.7383
I3	151.6214	452.1	305753.8547
I3	138.8258	457.4	300886.9496
I3	64.0117	521.2	287341.0808
I3	60.1925	524.9	286747.8339
I3	9.1229	580.3	283869.3559
I3	129.3806	461.8	297209.1764
I3	34.8935	550.7	284628.6411
I3	77.5852	505	287237.8585
I3	12.5593	572.7	282168.1448
I3	71.1135	514.8	288342.042
I3	52.5017	530.7	285214.1055
I3	75.7582	509.9	288664.8466
I3	14.223	571.9	282747.4267
I3	60.1421	525.8	287455.6473
I3	26.1054	559.4	283632.5503
I3	17.4382	567.2	282387.1602
I3	90.4441	494.9	290356.3111
I3	28.9045	555.2	283212.3413
I3	34.6742	551.1	284646.0977
I3	32.3889	551.7	283547.609
I3	121.5447	468.1	295668.7237
I3	155.9027	451.7	307951.5238
I3	14.4948	571.8	282864.1877
I3	49.8744	536.2	286259.7617
I3	87.4858	498.4	290210.5958
I3	74.1373	512.8	288996.0721
I3	126.7136	465.2	297461.5579
I3	92.7538	493.9	290950.9955
I3	135.3784	459.3	299489.2749
I3	61.2648	522.3	286078.0405
I3	75.4265	511.6	289075.3255
I3	48.0654	537.1	285699.2594
I3	38.7655	542.4	282721.5292
I3	56.1267	529.4	286592.2356
I3	137.4727	458.5	300412.4627
I3	85.4709	499.6	289172.9783
I3	36.466	546.2	283221.7076
I3	28.2852	556.4	283416.0776
I3	27.7119	556.9	283354.0316
I3	123.3084	466.1	295786.02
I3	82.5235	504	290016.3564
I3	75.0237	512.2	289382.093
I3	5.8916	582.2	282887.1786
I3	22.2598	560.4	281823.0722
I3	12.333	574.3	282879.0403
I3	19.1538	565.1	282347.0432
I3	51.6024	534.6	286636.2882
I3	66.4772	517.3	286695.9444
I3	105.9644	481.9	292918.1598
I3	71.781	514.4	288416.3369
I3	116.2764	471.8	294110.4427
I3	109.1744	479.3	293472.5832
I3	20.2741	563.6	282345.5004
I3	124.1541	465.8	296105.5558
I3	132.264	460.5	298281.766
I3	29.2618	552.6	282295.617
I3	20.504	561.2	281272.8427
I3	16.3532	567.9	282047.8195
I3	46.5496	537.3	284796.9193
I3	84.8819	500	289393.1364
I3	81.6618	504.4	289578.9515
I3	101.4421	485.5	292118.0236
I3	112.1792	479.1	295211.7105
I3	119.4942	468.3	294493.4312
I3	88.553	496.4	289617.512
I3	94.7651	491.6	291229.9032
I3	85.7489	499.3	289523.5942
I3	113.1732	475.6	294200.6226
I3	58.0479	526.8	286551.0599
I3	14.5819	569.6	281861.9777
I3	7.6643	580.4	283013.3739
I3	11.1519	576.9	283359.1605
I3	86.4802	498.9	289687.7214
I3	96.6842	491.2	291987.988
I3	25.1218	559.9	283308.3711
I3	85.0529	499.5	289406.8096
I3	112.446	475.7	294007.7262
I3	146.6981	456.4	304842.513
I3	149.2582	452.4	304395.7066
I3	156.5673	450.4	307924.1867
I3	146.7801	454	303842.6026
I3	70.4006	516.4	288556.8927
I3	68.4753	517.2	288253.3145
I3	108.9477	480.2	293940.0336
I3	97.3655	488.7	291029.2456
I3	57.3607	528.5	286772.8522
I3	55.6484	529.5	286243.2897
I3	52.0452	532.8	285868.0284
I3	66.1343	519.5	287906.4087
I3	121.1878	468.2	295413.3293
I3	107.6138	480.3	293240.0156
I3	31.8703	552.4	283562.748
I3	76.177	509.5	288538.2356
I3	86.9733	498.5	289854.8311
