inst	noh	mks	cst
I0	6.6273	164.8	82968.5688
I0	45.1117	126.3	87049.4374
I0	31.4833	140	85473.0071
I0	28.4547	143	85198.0058
I0	15.1433	156.3	83821.2267
I0	25.4743	146	84851.4063
I0	44.6315	126.8	87009.5754
I0	39.2443	132.2	86324.3272
I0	28.7559	142.7	85148.9315
I0	9.351	162.1	83225.5467
I0	38.4384	133	86221.3327
I0	19.0298	152.4	84212.1387
I0	16.2526	155.2	83940.5816
I0	42.4464	129	86752.1976
I0	28.0199	143.4	85130.4951
I0	35.7162	135.7	85972.8101
I0	51.3287	120.1	87778.153
I0	51.3303	120.1	87772.2281
I0	15.1503	156.3	83799.3686
I0	16.4344	155	83920.8207
I0	47.7664	123.7	87329.4666
I0	6.5397	164.9	82967.3866
I0	11.6177	159.8	83462.3254
I0	33.6696	137.8	85639.8398
I0	31.5237	139.9	85463.1366
I0	17.1774	154.3	83998.6795
I0	50.7162	120.7	87705.0118
I0	32.7725	138.7	85626.062
I0	14.1681	157.3	83721.0827
I0	10.846	160.6	83390.1629
I0	41.2444	130.2	86654.6031
I0	26.4734	145	84920.401
I0	20.668	150.8	84391.9475
I0	40.2848	131.2	86436.5815
I0	26.4144	145	84946.1466
I0	21.5195	149.9	84430.4418
I0	3.5725	167.9	82670.9423
I0	8.63	162.8	83177.6224
I0	36.2181	135.2	86060.5624
I0	4.7451	166.7	82787.7469
I0	9.7159	161.7	83289.5134
I0	27.7197	143.7	85109.6861
I0	31.2484	140.2	85485.946
I0	46.724	124.7	87225.0986
I0	13.4324	158	83636.6212
I0	9.9802	161.5	83284.752
I0	28.9467	142.5	85200.5558
I0	27.3166	144.1	85034.0067
I0	48.7564	122.7	87457.2685
I0	39.3424	132.1	86340.2427
I0	21.933	149.5	84494.9668
I0	45.727	125.7	87098.6305
I0	32.4221	139	85548.3629
I0	24.6124	146.8	84791.9428
I0	41.0522	130.4	86561.7813
I0	37.4324	134	86103.5943
I0	15.1455	156.3	83806.0336
I0	15.6134	155.8	83862.0021
I0	10.1457	161.3	83322.0226
I0	12.9167	158.5	83616.4764
I0	48.6176	122.8	87435.2844
I0	38.5197	132.9	86271.1388
I0	8.5204	162.9	83152.9714
I0	33.1753	138.3	85656.5432
I0	34.2466	137.2	85791.0502
I0	6.2575	165.2	82927.7807
I0	20.4616	151	84337.5436
I0	19.9369	151.5	84361.552
I0	14.2208	157.2	83726.9698
I0	29.7154	141.7	85267.7252
I0	31.6875	139.8	85473.3691
I0	28.0263	143.4	85085.115
I0	9.3157	162.1	83230.6375
I0	30.1156	141.3	85399.5661
I0	25.6844	145.8	84859.5166
I0	39.3225	132.1	86344.78
I0	46.8624	124.6	87218.343
I0	28.6322	142.8	85247.4823
I0	22.5383	148.9	84548.3785
I0	32.721	138.7	85643.1165
I0	40.5376	130.9	86501.1086
I0	3.1264	168.3	82628.936
I0	39.3112	132.1	86381.1475
I0	47.1141	124.3	87268.902
I0	21.3238	150.1	84472.5685
I0	20.5683	150.9	84331.5427
I0	42.6346	128.8	86752.5339
I0	31.9247	139.5	85586.2622
I0	5.3527	166.1	82839.763
I0	33.0337	138.4	85650.4959
I0	43.0414	128.4	86794.8269
I0	44.0274	127.4	86928.8966
I0	32.3108	139.1	85693.9292
I0	45.6256	125.8	87142.0907
I0	36.8334	134.6	86089.2393
I0	15.0254	156.4	83802.7223
I0	33.8153	137.6	85743.4143
I0	24.0904	147.4	84686.3248
I0	18.2148	153.2	84124.3714
I0	36.262	135.2	85947.2841
I0	43.6215	127.8	86855.7557
I0	37.3081	134.1	86178.829
I0	32.2637	139.2	85545.909
I0	15.5133	155.9	83840.4621
I0	35.2263	136.2	85922.1112
I0	4.2145	167.2	82735.5893
I0	50.1141	121.3	87624.536
I0	35.3893	136.1	85890.5535
I0	7.7227	163.7	83073.5828
I0	40.4192	131	86468.7512
I0	23.9131	147.5	84687.1034
I0	46.5264	124.9	87186.5695
I0	31.0122	140.4	85451.0664
I0	5.1284	166.3	82823.5852
I0	19.5254	151.9	84254.1583
I0	8.6428	162.8	83168.2382
I0	15.4455	156	83869.6307
I0	27.9249	143.5	85084.5038
I0	28.9209	142.5	85271.7855
I0	23.0114	148.4	84638.0789
I0	42.7192	128.7	86800.6122
I0	11.9152	159.5	83519.6776
I0	33.1173	138.3	85675.362
I0	38.8955	132.6	86305.5003
I0	22.3137	149.1	84530.1268
I0	13.512	157.9	83650.9086
I0	19.1114	152.3	84210.7504
I0	41.7218	129.7	86651.5533
I0	42.3383	129.1	86706.5983
I0	33.6453	137.8	85802.1367
I0	25.8151	145.6	84837.8979
I0	41.9141	129.5	86665.7175
I0	40.0277	131.4	86405.9088
I0	48.7324	122.7	87459.2274
I0	32.845	138.6	85678.8342
I0	41.7415	129.7	86611.4792
I0	40.6271	130.8	86502.114
I0	9.0337	162.4	83207.3477
I0	44.2463	127.2	86895.9796
I0	6.9125	164.5	83000.7382
I0	44.0557	127.4	86922.099
I0	6.4245	165	82943.9231
I0	6.0141	165.4	82909.8112
I0	38.4192	133	86222.046
I0	31.7216	139.7	85515.7416
I0	46.1416	125.3	87135.5957
I0	13.0191	158.4	83612.5964
I0	17.5252	153.9	84069.5338
I0	15.0155	156.4	83816.5338
I0	9.542	161.9	83253.5982
I0	33.0454	138.4	85605.966
I0	29.3634	142.1	85181.9727
I0	27.1227	144.3	84969.1948
I0	49.2359	122.2	87515.9172
I0	43.0484	128.4	86771.5086
I0	19.2316	152.2	84189.8953
I0	17.129	154.3	84035.2314
I0	47.4307	124	87304.6012
I0	42.1379	129.3	86669.131
I0	26.6487	144.8	84975.2322
I0	9.276	162.2	83224.1978
I0	8.0117	163.4	83099.9887
I0	16.5575	154.9	83929.7103
I0	25.9168	145.5	84906.2608
I0	17.0135	154.4	84046.1848
I0	14.6201	156.8	83758.9511
I0	19.0762	152.4	84179.2931
I0	34.1173	137.3	85776.3603
I0	31.1602	140.3	85453.8105
I0	24.3157	147.1	84702.5161
I0	6.8333	164.6	82989.1595
I0	24.7973	146.7	84777.5647
I0	20.732	150.7	84331.2256
I0	40.8898	130.6	86513.2453
I0	43.4302	128	86822.4904
I0	44.0139	127.4	86941.7338
I0	36.8075	134.7	86025.2422
I0	23.243	148.2	84616.9918
I0	37.6578	133.8	86167.6521
I0	32.9412	138.5	85634.1798
I0	4.8326	166.6	82793.8733
I0	43.0676	128.4	86753.2231
I0	19.7243	151.7	84307.2318
I0	47.0138	124.4	87252.7032
I0	16.1337	155.3	83903.5743
I0	47.9141	123.5	87368.801
I0	24.6185	146.8	84748.4579
I0	25.2164	146.2	84806.3392
I0	21.0747	150.4	84387.1031
I0	43.5477	127.9	86845.7981
I0	16.8118	154.6	83974.5235
I0	39.2278	132.2	86326.5312
I0	6.3159	165.1	82937.8164
I0	26.1202	145.3	84915.7857
I0	41.1197	130.3	86561.936
I0	15.4498	156	83844.7408
I0	15.2143	156.2	83821.6895
I0	36.9473	134.5	86053.6072
I0	22.1195	149.3	84584.4678
I0	10.3413	161.1	83330.3595
I0	14.5386	156.9	83774.286
I0	12.2232	159.2	83530.2486
I0	34.558	136.9	85770.7481
I0	27.0224	144.4	85015.3206
I0	18.0228	153.4	84150.932
I0	4.0559	167.4	82724.003
I0	46.915	124.5	87242.3026
I0	48.9144	122.5	87474.584
I0	44.7218	126.7	87000.8319
I0	42.0559	129.4	86705.5797
I0	47.9138	123.5	87377.1183
I0	46.4834	125	87169.1764
I0	30.2196	141.2	85389.8275
I0	37.7115	133.7	86146.3805
I0	8.853	162.6	83188.9088
I0	9.7312	161.7	83280.7121
I0	25.585	145.9	84867.5351
I0	36.3462	135.1	86006.7022
I0	5.9167	165.5	82905.5106
I0	22.2146	149.2	84509.7355
I0	12.2284	159.2	83525.809
I0	11.1448	160.3	83411.3823
I0	16.1175	155.3	83920.0491
I0	34.0178	137.4	85768.609
I0	16.9117	154.5	83997.4635
I0	3.8127	167.6	82695.8317
I0	49.1455	122.3	87493.1012
I0	28.2401	143.2	85099.5521
I0	30.663	140.8	85388.0789
I0	35.5926	135.9	85950.7606
I0	27.1172	144.3	85056.699
I0	12.7187	158.7	83616.4008
I0	46.6269	124.8	87197.9371
I0	22.1341	149.3	84531.6629
I0	47.1296	124.3	87254.8115
