config	inst	time	count	best	spr	hv	gd	
nsga50k2x	I3	745821	62	3	0.6950	0.4383	0.0135	
nsga50k2x	I3	749805	75	1	0.6480	0.4140	0.0103	
nsga50k2x	I3	748079	77	0	0.6228	0.4226	0.0089	
nsga50k2x	I3	748496	65	2	0.6212	0.3995	0.0124	
nsga50k2x	I3	756407	62	3	0.7434	0.4339	0.0151	
nsga50k2x	I3	751614	70	4	0.6616	0.4345	0.0116	
nsga50k2x	I3	752142	68	0	0.6970	0.4123	0.0118	
nsga50k2x	I3	747995	69	4	0.6307	0.4251	0.0098	
nsga50k2x	I3	745005	65	3	0.7176	0.4343	0.0124	
nsga50k2x	I3	747281	77	0	0.6839	0.4031	0.0108	
nsga50k2x	I3	750805	63	2	0.7099	0.3979	0.0159	
nsga50k2x	I3	745419	68	2	0.5169	0.4127	0.0090	
nsga50k2x	I3	750721	72	3	0.6313	0.4244	0.0095	
nsga50k2x	I3	757079	64	3	0.6537	0.4158	0.0199	
nsga50k2x	I3	750131	74	1	0.7870	0.4115	0.0178	
nsga50k2x	I3	749381	59	3	0.6738	0.4378	0.0093	
nsga50k2x	I3	750029	65	3	0.6622	0.4355	0.0091	
nsga50k2x	I3	746973	54	5	0.6632	0.4297	0.0129	
nsga50k2x	I3	749123	61	2	0.6172	0.4256	0.0126	
nsga50k2x	I3	750252	74	4	0.7233	0.4369	0.0114	
nsga50k2x	I3	747584	60	1	0.5852	0.4327	0.0092	
nsga50k2x	I4	478522	118	3	0.5443	0.4815	0.0030	
nsga50k2x	I4	478258	114	2	0.5444	0.4796	0.0031	
nsga50k2x	I4	475657	115	9	0.5161	0.4855	0.0027	
nsga50k2x	I4	477796	119	1	0.5357	0.4754	0.0030	
nsga50k2x	I4	475009	118	4	0.5699	0.4750	0.0042	
nsga50k2x	I4	478496	114	3	0.5552	0.4790	0.0034	
nsga50k2x	I4	477652	120	2	0.5065	0.4820	0.0030	
nsga50k2x	I4	477174	120	6	0.6284	0.4822	0.0030	
nsga50k2x	I4	478493	117	4	0.6150	0.4797	0.0035	
nsga50k2x	I4	478626	120	4	0.6101	0.4811	0.0031	
nsga50k2x	I4	478083	116	3	0.5457	0.4737	0.0037	
nsga50k2x	I4	477719	112	4	0.6586	0.4809	0.0033	
nsga50k2x	I4	476684	118	2	0.6696	0.4790	0.0038	
nsga50k2x	I4	476626	120	4	0.6127	0.4768	0.0034	
nsga50k2x	I4	478521	119	1	0.5612	0.4795	0.0031	
nsga50k2x	I4	478157	120	9	0.5614	0.4832	0.0031	
nsga50k2x	I4	478457	118	4	0.6203	0.4813	0.0029	
nsga50k2x	I4	477727	119	2	0.6005	0.4829	0.0029	
nsga50k2x	I4	478848	117	2	0.6521	0.4805	0.0030	
nsga50k2x	I4	477060	119	2	0.6187	0.4812	0.0029	
nsga50k2x	I4	475661	120	3	0.5945	0.4754	0.0032	
nsga50k2x	I4	477818	120	0	0.5365	0.4707	0.0034	
nsga50k2x	I4	476743	117	1	0.4978	0.4733	0.0035	
nsga50k2x	I4	478021	117	5	0.6315	0.4841	0.0029	
nsga50k2x	I4	477681	111	5	0.6439	0.4783	0.0035	
nsga50k2x	I4	476973	117	2	0.5477	0.4711	0.0036	
nsga50k2x	I4	479351	116	4	0.5133	0.4772	0.0031	
nsga50k2x	I4	477667	117	9	0.6137	0.4873	0.0026	
nsga50k2x	I4	474235	118	1	0.5713	0.4765	0.0036	
nsga50k2x	I4	479025	120	2	0.5338	0.4793	0.0029	
nsga50k2x	I4	477392	120	10	0.5531	0.4770	0.0030	
nsga50k2x	I4	477547	113	4	0.5849	0.4801	0.0036	
nsga50k2x	I4	477094	117	6	0.5937	0.4753	0.0040	
nsga50k2x	I4	477635	114	1	0.6127	0.4799	0.0034	
nsga50k2x	I4	476913	115	4	0.6053	0.4785	0.0031	
nsga50k2x	I4	476617	120	0	0.5973	0.4670	0.0043	
nsga50k2x	I4	478793	112	4	0.5901	0.4822	0.0030	
nsga50k2x	I4	478334	113	0	0.6081	0.4831	0.0028	
nsga50k2x	I4	477575	120	1	0.5619	0.4758	0.0033	
nsga50k2x	I4	478801	120	0	0.5702	0.4792	0.0030	
nsga50k2x	I4	476966	115	14	0.6631	0.4871	0.0029	
nsga50k2x	I4	476827	117	5	0.5837	0.4843	0.0027	
nsga50k2x	I4	476901	115	4	0.6028	0.4821	0.0040	
nsga50k2x	I4	477142	116	5	0.5636	0.4816	0.0032	
nsga50k2x	I4	477644	111	1	0.6440	0.4754	0.0036	
nsga50k2x	I4	476859	120	4	0.6470	0.4816	0.0039	
nsga50k2x	I4	479474	120	4	0.5815	0.4859	0.0027	
nsga50k2x	I4	476740	102	5	0.5921	0.4805	0.0035	
nsga50k2x	I4	478146	119	1	0.5069	0.4768	0.0031	
nsga50k2x	I4	477554	119	1	0.5219	0.4751	0.0032	
nsga50k2x	I5	206497	86	1	0.5272	0.4922	0.0038	
nsga50k2x	I5	206078	88	1	0.4663	0.4888	0.0038	
nsga50k2x	I5	207757	88	1	0.6023	0.4939	0.0037	
nsga50k2x	I5	206850	88	7	0.5035	0.5038	0.0029	
nsga50k2x	I5	208146	84	6	0.5228	0.4897	0.0040	
nsga50k2x	I5	207015	88	12	0.5896	0.5055	0.0033	
nsga50k2x	I5	207083	87	2	0.5648	0.4961	0.0036	
nsga50k2x	I5	206057	88	7	0.4247	0.4867	0.0039	
nsga50k2x	I5	207425	88	10	0.4938	0.5054	0.0028	
nsga50k2x	I5	207361	88	13	0.5231	0.5080	0.0031	
nsga50k2x	I5	207213	87	2	0.5128	0.4898	0.0041	
nsga50k2x	I5	206643	88	5	0.5824	0.4961	0.0033	
nsga50k2x	I5	207914	88	6	0.5177	0.4936	0.0035	
nsga50k2x	I5	206696	82	7	0.5382	0.4976	0.0038	
nsga50k2x	I5	207111	85	5	0.5407	0.4970	0.0035	
nsga50k2x	I5	207646	86	2	0.5624	0.4932	0.0034	
nsga50k2x	I5	207258	87	0	0.5719	0.4761	0.0050	
nsga50k2x	I5	207185	88	2	0.5015	0.4912	0.0035	
nsga50k2x	I5	208392	87	5	0.5431	0.5015	0.0029	
nsga50k2x	I5	206022	86	0	0.4871	0.4885	0.0035	
nsga50k2x	I5	207220	88	1	0.4787	0.4875	0.0041	
nsga50k2x	I5	207258	88	2	0.5894	0.4907	0.0038	
nsga50k2x	I5	207336	88	1	0.4653	0.4919	0.0039	
nsga50k2x	I5	206975	88	3	0.5142	0.4942	0.0040	
nsga50k2x	I5	207692	88	0	0.4639	0.4820	0.0049	
nsga50k2x	I5	206303	88	3	0.4826	0.4946	0.0031	
nsga50k2x	I5	206876	88	6	0.5425	0.4962	0.0039	
nsga50k2x	I5	207859	87	3	0.5239	0.4966	0.0031	
nsga50k2x	I5	207537	88	3	0.5308	0.4943	0.0035	
nsga50k2x	I5	207447	87	3	0.5429	0.4860	0.0039	
nsga50k2x	I5	206574	88	2	0.5471	0.4867	0.0040	
nsga50k2x	I5	205968	88	1	0.4890	0.4908	0.0037	
nsga50k2x	I5	207122	88	3	0.5439	0.4924	0.0034	
nsga50k2x	I5	207121	85	1	0.4348	0.4922	0.0032	
nsga50k2x	I5	208273	88	2	0.5344	0.4924	0.0035	
nsga50k2x	I5	207227	88	4	0.6030	0.5049	0.0031	
nsga50k2x	I5	207157	85	4	0.5947	0.4916	0.0041	
nsga50k2x	I5	206560	87	1	0.5207	0.4937	0.0039	
nsga50k2x	I5	206439	88	3	0.4813	0.4885	0.0042	
nsga50k2x	I5	207654	88	0	0.5013	0.4809	0.0052	
nsga50k2x	I5	207253	85	0	0.5792	0.4901	0.0040	
nsga50k2x	I5	206282	87	3	0.5658	0.4913	0.0034	
nsga50k2x	I5	207542	88	3	0.5508	0.4881	0.0041	
nsga50k2x	I5	207049	88	3	0.5346	0.4898	0.0044	
nsga50k2x	I5	207546	88	0	0.5296	0.4855	0.0054	
nsga50k2x	I5	207023	88	0	0.5462	0.4849	0.0043	
nsga50k2x	I5	205964	88	5	0.4837	0.4868	0.0040	
nsga50k2x	I5	206923	88	1	0.5015	0.4879	0.0045	
nsga50k2x	I5	207141	87	0	0.4861	0.4875	0.0037	
nsga50k2x	I5	207743	88	4	0.5248	0.4988	0.0032	

	
nsga50k4x	I0	209999	70	2	0.6508	0.5437	0.0067	
nsga50k4x	I0	193757	66	3	0.6291	0.5481	0.0054	
nsga50k4x	I0	194437	70	3	0.6867	0.5605	0.0066	
nsga50k4x	I0	193556	71	1	0.6946	0.5487	0.0065	
nsga50k4x	I0	193567	73	2	0.5844	0.5275	0.0067	
nsga50k4x	I0	188728	72	1	0.6574	0.5256	0.0067	
nsga50k4x	I0	188453	68	3	0.6815	0.5571	0.0064	
nsga50k4x	I0	188304	75	0	0.6556	0.5220	0.0073	
nsga50k4x	I0	188648	59	1	0.6882	0.5424	0.0067	
nsga50k4x	I0	189399	67	2	0.6683	0.5431	0.0074	
nsga50k4x	I0	188929	79	3	0.6503	0.5255	0.0071	
nsga50k4x	I0	188768	63	11	0.6757	0.5671	0.0051	
nsga50k4x	I0	189432	69	2	0.6830	0.5485	0.0064	
nsga50k4x	I0	188807	67	1	0.6814	0.5464	0.0061	
nsga50k4x	I0	189211	64	1	0.5782	0.5433	0.0057	
nsga50k4x	I0	188357	68	0	0.6357	0.5176	0.0082	
nsga50k4x	I0	189002	64	2	0.7310	0.5603	0.0058	
nsga50k4x	I0	188481	75	4	0.7542	0.5687	0.0056	
nsga50k4x	I0	188976	69	2	0.7517	0.5547	0.0070	
nsga50k4x	I0	189140	71	2	0.6627	0.5573	0.0062	
nsga50k4x	I0	187618	66	4	0.6652	0.5551	0.0063	
nsga50k4x	I0	189134	66	2	0.6749	0.5553	0.0065	
nsga50k4x	I0	189055	65	1	0.6883	0.5429	0.0068	
nsga50k4x	I0	207684	65	1	0.6842	0.5418	0.0072	
nsga50k4x	I0	194531	69	1	0.6270	0.5393	0.0061	
nsga50k4x	I0	194346	59	4	0.5805	0.5472	0.0058	
nsga50k4x	I0	194631	63	1	0.6402	0.5424	0.0068	
nsga50k4x	I0	194848	68	0	0.6142	0.5267	0.0074	
nsga50k4x	I0	191855	74	2	0.6404	0.5435	0.0056	
nsga50k4x	I0	189524	66	2	0.6528	0.5384	0.0068	
nsga50k4x	I0	188153	78	2	0.5904	0.5493	0.0053	
nsga50k4x	I0	187682	65	0	0.6036	0.5285	0.0081	
nsga50k4x	I0	188118	69	0	0.6079	0.5203	0.0079	
nsga50k4x	I0	218692	63	2	0.6706	0.5495	0.0065	
nsga50k4x	I0	223333	65	1	0.7189	0.5321	0.0071	
nsga50k4x	I0	212273	69	0	0.7329	0.5274	0.0073	
nsga50k4x	I0	194176	65	1	0.6537	0.5510	0.0060	
nsga50k4x	I0	195705	81	4	0.6227	0.5473	0.0052	
nsga50k4x	I0	193980	83	2	0.6105	0.5422	0.0058	
nsga50k4x	I0	194527	70	6	0.6688	0.5616	0.0059	
nsga50k4x	I0	192888	65	0	0.5930	0.5408	0.0068	
nsga50k4x	I0	190252	70	3	0.6751	0.5631	0.0058	
nsga50k4x	I0	189794	72	0	0.7542	0.5272	0.0078	
nsga50k4x	I0	190310	72	0	0.7140	0.5095	0.0086	
nsga50k4x	I0	190000	76	7	0.6627	0.5553	0.0049	
nsga50k4x	I0	189524	59	4	0.6297	0.5627	0.0058	
nsga50k4x	I0	189379	73	1	0.6116	0.5331	0.0063	
nsga50k4x	I0	190036	81	1	0.6577	0.5555	0.0057	
nsga50k4x	I0	189908	62	2	0.6192	0.5411	0.0063	
nsga50k4x	I0	189779	64	5	0.6424	0.5496	0.0062	
nsga50k4x	I1	1103325	78	5	0.6957	0.4045	0.0070	
nsga50k4x	I1	1351916	76	3	0.6753	0.3990	0.0058	
nsga50k4x	I1	1148462	91	2	0.6715	0.3951	0.0065	
nsga50k4x	I1	1103492	94	3	0.6378	0.3976	0.0072	
nsga50k4x	I1	1108753	83	5	0.6065	0.4071	0.0053	
nsga50k4x	I1	1104175	91	2	0.6312	0.3893	0.0086	
nsga50k4x	I1	1107766	85	0	0.7346	0.3881	0.0084	
nsga50k4x	I1	1107653	99	4	0.6509	0.4007	0.0052	
nsga50k4x	I1	1107392	112	2	0.6313	0.3799	0.0060	
nsga50k4x	I1	1105973	94	1	0.6981	0.3978	0.0081	
nsga50k4x	I1	1105084	96	3	0.6318	0.4019	0.0048	
nsga50k4x	I1	1104269	95	3	0.7427	0.4020	0.0068	
nsga50k4x	I1	1103656	84	3	0.6156	0.3990	0.0076	
nsga50k4x	I1	1109007	100	2	0.7483	0.3912	0.0064	
nsga50k4x	I1	1103899	98	2	0.7577	0.4005	0.0080	
nsga50k4x	I1	1103943	84	2	0.5928	0.3936	0.0066	
nsga50k4x	I1	1107627	85	1	0.7133	0.4014	0.0079	
nsga50k4x	I1	1105773	86	0	0.6627	0.4052	0.0053	
nsga50k4x	I1	1104234	113	0	0.6345	0.3811	0.0082	
nsga50k4x	I1	1105360	97	1	0.6768	0.3912	0.0075	
nsga50k4x	I1	1106414	88	5	0.6130	0.3987	0.0050	
nsga50k4x	I1	1145230	88	2	0.6289	0.3970	0.0079	
nsga50k4x	I1	1388556	91	4	0.7010	0.3973	0.0070	
nsga50k4x	I1	1123013	97	3	0.6534	0.3985	0.0071	
nsga50k4x	I1	1104452	93	1	0.6784	0.3937	0.0086	
nsga50k4x	I1	1104411	92	0	0.6665	0.3893	0.0063	
nsga50k4x	I1	1106513	85	2	0.6962	0.3998	0.0066	
nsga50k4x	I1	1104420	89	2	0.6962	0.3979	0.0063	
nsga50k4x	I1	1107568	85	5	0.6759	0.4095	0.0056	
nsga50k4x	I1	1103944	96	2	0.7008	0.3928	0.0087	
nsga50k4x	I1	1105679	82	2	0.6644	0.4071	0.0062	
nsga50k4x	I1	1105549	90	1	0.6520	0.3904	0.0066	
nsga50k4x	I1	1104745	82	4	0.6180	0.4039	0.0062	
nsga50k4x	I1	1104864	85	3	0.7246	0.3882	0.0078	
nsga50k4x	I1	1103830	91	3	0.6370	0.3892	0.0062	
nsga50k4x	I1	1102904	93	3	0.7336	0.3974	0.0069	
nsga50k4x	I1	1108566	79	1	0.7075	0.3928	0.0068	
nsga50k4x	I1	1103960	83	2	0.6397	0.3991	0.0069	
nsga50k4x	I1	1105488	82	3	0.5848	0.3975	0.0062	
nsga50k4x	I1	1107001	101	4	0.6987	0.4020	0.0071	
nsga50k4x	I1	1108774	95	1	0.6071	0.3903	0.0053	
nsga50k4x	I1	1104783	83	5	0.5941	0.3962	0.0061	
nsga50k4x	I1	1103174	95	1	0.5995	0.3919	0.0071	
nsga50k4x	I1	1106372	92	1	0.6730	0.3934	0.0076	
nsga50k4x	I1	1104566	89	4	0.6273	0.4099	0.0053	
nsga50k4x	I1	1104748	83	6	0.6340	0.3996	0.0076	
nsga50k4x	I1	1107819	103	2	0.6780	0.4020	0.0063	
nsga50k4x	I1	1106544	96	1	0.6152	0.3934	0.0078	
nsga50k4x	I1	1107818	83	0	0.6959	0.3976	0.0077	
nsga50k4x	I1	1118380	91	5	0.6941	0.3967	0.0076	
nsga50k4x	I2	1316223	59	1	0.7644	0.5607	0.0076	
nsga50k4x	I2	1274010	49	1	0.7417	0.5540	0.0094	
nsga50k4x	I2	1273546	61	0	0.7564	0.5423	0.0085	
nsga50k4x	I2	1309140	56	6	0.7080	0.5709	0.0059	
