config	inst	time	count	best	spr	hv	
rs5k	I1	278269	30	0	0.6823	0.5078	
rs5k	I1	278073	29	0	0.6125	0.5029	
rs5k	I1	278104	28	1	0.5924	0.5182	
rs5k	I1	278261	28	1	0.5922	0.4923	
rs5k	I1	278733	25	3	0.6503	0.4973	
rs5k	I1	278246	29	1	0.6356	0.5234	
rs5k	I1	278116	27	0	0.6766	0.5103	
rs5k	I1	278202	31	3	0.6677	0.4992	
rs5k	I1	278456	35	0	0.5105	0.4801	
rs5k	I1	278569	33	0	0.6906	0.4742	
rs5k	I1	277997	25	2	0.6746	0.5243	
rs5k	I2	321415	22	0	0.6668	0.3648	
rs5k	I2	321193	16	0	0.6074	0.4207	
rs5k	I2	320927	14	0	0.7021	0.4293	
rs5k	I2	321058	20	0	0.7297	0.3737	
rs5k	I2	320962	18	0	0.6097	0.3876	
rs5k	I2	321679	22	0	0.7298	0.3631	
rs5k	I2	321234	18	0	0.9201	0.4140	
rs5k	I2	321307	19	0	0.6806	0.3711	
rs5k	I2	321463	21	2	0.5720	0.4085	
rs5k	I2	321354	15	1	0.7298	0.4131	
rs5k	I2	321381	8	2	0.6680	0.5526	
rs5k	I2	321315	9	0	0.6357	0.4425	
rs5k	I2	321395	9	1	0.7501	0.4873	
rs5k	I2	321637	15	0	0.6244	0.4501	
rs5k	I2	321594	15	2	0.6903	0.4643	
rs5k	I2	321238	20	0	0.7413	0.4010	
rs5k	I2	321351	22	0	0.8347	0.3789	
rs5k	I2	321364	20	0	0.8027	0.3932	
rs5k	I2	321627	13	0	0.5634	0.3625	
rs5k	I2	320999	15	0	0.7400	0.4569	
rs5k	I2	321458	8	3	0.7807	0.6566	
rs5k	I2	321349	10	0	0.6945	0.5187	
rs5k	I2	320818	14	1	0.7703	0.4910	
rs5k	I2	321631	17	1	0.7303	0.4624	
rs5k	I2	321242	15	1	0.8101	0.5514	
rs5k	I2	321565	12	0	0.6322	0.4069	
rs5k	I2	321774	11	0	0.6852	0.4457	
rs5k	I2	321344	14	0	0.7900	0.4776	
rs5k	I2	321815	13	1	0.7798	0.4397	
rs5k	I2	321349	19	0	0.6981	0.3762	
rs5k	I2	321404	15	0	0.6500	0.4016	
rs5k	I2	321670	9	1	0.7869	0.4986	
rs5k	I2	321158	22	0	0.9147	0.4257	
rs5k	I2	321474	15	0	0.8170	0.4269	
rs5k	I2	321208	22	0	0.5914	0.4446	
rs5k	I2	320675	7	0	0.6836	0.5748	
rs5k	I2	321520	22	0	0.8684	0.4414	
rs5k	I2	321488	12	1	0.7232	0.4905	
rs5k	I2	321239	20	0	0.7524	0.4344	
rs5k	I2	321490	19	0	0.6066	0.3690	
rs5k	I2	321123	18	0	0.6948	0.4503	
rs5k	I2	320825	13	2	0.7237	0.5812	
rs5k	I2	321795	18	0	0.6469	0.4775	
rs5k	I2	321778	17	2	0.7674	0.4327	
rs5k	I2	320932	19	1	0.5903	0.4541	
rs5k	I2	321427	16	0	0.6295	0.4141	
rs5k	I2	321524	11	2	0.6944	0.5289	
rs5k	I2	321405	15	2	0.7620	0.4870	
rs5k	I2	321930	17	0	0.6771	0.4166	
rs5k	I2	321208	16	1	0.8136	0.5430	
rs5k	I3	344662	19	0	0.3845	0.4313	
rs5k	I3	345256	19	1	0.6063	0.4203	
rs5k	I3	344802	18	0	0.5753	0.4296	
rs5k	I3	344525	17	0	0.6735	0.4915	
rs5k	I3	344869	17	0	0.6673	0.4731	
rs5k	I3	345358	16	0	0.5058	0.4598	
rs5k	I3	345347	18	1	0.8942	0.4474	
rs5k	I3	344505	13	2	0.6836	0.5110	
rs5k	I3	344839	21	2	0.5755	0.3977	
rs5k	I3	344051	28	0	0.6814	0.4642	
rs5k	I3	343874	22	0	0.6267	0.4375	
rs5k	I3	345629	19	0	0.6488	0.4273	
rs5k	I3	345018	13	0	0.7562	0.4443	
rs5k	I3	344983	15	0	0.6783	0.5064	
rs5k	I3	344913	20	1	0.8856	0.4403	
rs5k	I3	347784	18	0	0.7940	0.5311	
rs5k	I3	344384	23	0	0.7106	0.3994	
rs5k	I3	344845	17	1	0.7000	0.4801	
rs5k	I3	345225	25	0	0.7956	0.4146	
rs5k	I3	344862	21	1	0.6377	0.4994	
rs5k	I3	344336	20	1	0.6865	0.4738	
rs5k	I3	344752	19	1	0.7279	0.4430	
rs5k	I3	345653	18	1	0.8593	0.5098	
rs5k	I3	344960	19	0	0.7726	0.4211	
rs5k	I3	344502	17	0	0.7570	0.4255	
rs5k	I3	344772	18	3	0.7885	0.4708	
rs5k	I3	345125	18	0	0.8487	0.4932	
rs5k	I3	344467	23	1	0.6977	0.4470	
rs5k	I3	344845	17	2	0.6680	0.5586	
rs5k	I3	344517	16	0	0.6651	0.4395	
rs5k	I3	346139	14	1	0.6804	0.4742	
rs5k	I3	345327	20	0	0.5551	0.3879	
rs5k	I3	345520	18	0	0.7884	0.4584	
rs5k	I3	344416	20	0	0.7849	0.4321	
rs5k	I3	344494	23	0	0.5878	0.4069	
rs5k	I3	344523	20	2	0.7685	0.5081	
rs5k	I3	344758	18	0	0.6435	0.4831	
rs5k	I3	344939	24	0	0.5928	0.3984	
rs5k	I3	343706	17	2	0.7739	0.5069	
rs5k	I3	344411	29	0	0.8421	0.3683	
rs5k	I3	345453	18	0	0.5757	0.4054	
rs5k	I3	344277	22	0	0.5830	0.4138	
rs5k	I3	344552	19	0	0.7604	0.4956	
rs5k	I3	345078	19	1	0.6842	0.4528	
rs5k	I3	344332	20	1	0.7635	0.4741	
rs5k	I3	344776	20	1	0.7416	0.5381	
rs5k	I3	344781	21	1	0.5339	0.4652	
rs5k	I3	345929	18	1	0.6536	0.4890	
rs5k	I3	345240	24	0	0.8792	0.4269	
rs5k	I3	344711	24	0	0.5859	0.4305	
rs5k	I4	118818	27	1	0.7675	0.4006	
rs5k	I4	119402	25	0	0.6783	0.4113	
rs5k	I4	118987	28	0	0.6129	0.4158	
rs5k	I4	118778	30	1	0.7715	0.3775	
rs5k	I4	118941	28	3	0.6681	0.4507	
rs5k	I4	119113	23	1	0.7904	0.4217	
rs5k	I4	118720	38	1	0.7373	0.3946	
rs5k	I4	118917	31	0	0.7189	0.4121	
rs5k	I4	118768	24	1	0.5627	0.3979	
rs5k	I4	118872	30	1	0.6899	0.3712	
rs5k	I4	119218	29	0	0.7381	0.3740	
rs5k	I4	118971	26	0	0.8359	0.4005	
rs5k	I4	118980	24	3	0.7020	0.4460	
rs5k	I4	119080	27	1	0.7450	0.3938	
rs5k	I4	119248	25	1	0.8230	0.4298	
rs5k	I4	118966	23	0	0.6550	0.3965	
rs5k	I4	119115	31	0	0.6522	0.4086	
rs5k	I4	119034	36	1	0.6688	0.3904	
rs5k	I4	118677	29	0	0.7192	0.4200	
rs5k	I4	119529	30	2	0.7234	0.3892	
rs5k	I4	118351	26	0	0.5880	0.4290	
rs5k	I4	118795	30	0	0.6854	0.3885	
rs5k	I4	119292	26	1	0.8744	0.4342	
rs5k	I4	118719	26	0	0.6139	0.4654	
rs5k	I4	118693	39	0	0.6699	0.3974	
rs5k	I4	118946	27	0	0.6219	0.4072	
rs5k	I4	118626	29	1	0.6113	0.4220	
rs5k	I4	118856	30	0	0.6810	0.3912	
rs5k	I4	119166	25	1	0.7362	0.4228	
rs5k	I4	119007	20	3	0.6973	0.4677	
rs5k	I4	118878	23	0	0.6642	0.4424	
rs5k	I4	119159	24	1	0.6113	0.4453	
rs5k	I4	119134	33	0	0.7334	0.3883	
rs5k	I4	118730	26	2	0.6616	0.4144	
rs5k	I4	118705	22	3	0.8231	0.4166	
rs5k	I4	119173	28	3	0.7238	0.4431	
rs5k	I4	118975	29	3	0.7737	0.4246	
rs5k	I4	119206	28	0	0.7200	0.3763	
rs5k	I4	118859	19	1	0.7268	0.4185	
rs5k	I4	118690	23	0	0.5850	0.4108	
rs5k	I4	119050	23	2	0.7891	0.4513	
rs5k	I4	119068	29	0	0.6355	0.4061	
rs5k	I4	119019	26	2	0.6895	0.4369	
rs5k	I4	118592	20	3	0.6471	0.4505	
rs5k	I4	118664	28	1	0.6635	0.3673	
rs5k	I4	119259	20	2	0.7083	0.3982	
rs5k	I4	118873	27	0	0.6478	0.4100	
rs5k	I4	118994	25	0	0.7340	0.3820	
rs5k	I4	118768	25	1	0.6191	0.4241	
rs5k	I4	119130	28	1	0.6340	0.4161	
rs5k	I5	51415	22	1	0.6900	0.4866	
rs5k	I5	51307	27	1	0.7733	0.5080	
rs5k	I5	51377	32	0	0.6862	0.4643	
rs5k	I5	51541	26	0	0.5796	0.4792	
rs5k	I5	51535	19	0	0.6352	0.4746	
rs5k	I5	51451	27	1	0.5467	0.4593	
rs5k	I5	51485	29	0	0.6555	0.4520	
rs5k	I5	51437	24	2	0.7200	0.5029	
rs5k	I5	51202	26	1	0.6567	0.5046	
rs5k	I5	51307	26	0	0.5556	0.4543	
rs5k	I5	51312	30	0	0.6648	0.4675	
rs5k	I5	51378	29	0	0.7069	0.4542	
rs5k	I5	51330	31	1	0.6868	0.4766	
rs5k	I5	51378	21	2	0.6329	0.5096	
rs5k	I5	51427	18	1	0.5251	0.5001	
rs5k	I5	51386	24	3	0.6978	0.4879	
rs5k	I5	51153	23	2	0.6207	0.5102	
rs5k	I5	51305	29	0	0.8123	0.4584	
rs5k	I5	51480	25	2	0.6082	0.5055	
rs5k	I5	51311	24	2	0.8432	0.5241	
rs5k	I5	51575	19	3	0.7322	0.5195	
rs5k	I5	51341	17	1	0.7119	0.4709	
rs5k	I5	51410	36	1	0.7517	0.4294	
rs5k	I5	51288	25	1	0.7211	0.4813	
rs5k	I5	51122	21	1	0.6218	0.4777	
rs5k	I5	51273	22	1	0.5622	0.4705	
rs5k	I5	51341	20	2	0.6453	0.5118	
rs5k	I5	51452	22	2	0.6773	0.4990	
rs5k	I5	51400	23	0	0.6448	0.4890	
rs5k	I5	51420	27	1	0.7333	0.4828	
rs5k	I5	51408	24	1	0.7016	0.4725	
rs5k	I5	51507	23	0	0.6967	0.5030	
rs5k	I5	51441	27	3	0.6704	0.4726	
rs5k	I5	51321	24	1	0.7746	0.4915	
rs5k	I5	51403	28	0	0.6516	0.4825	
rs5k	I5	51541	30	0	0.6969	0.4632	
rs5k	I5	51550	23	1	0.8207	0.4818	
rs5k	I5	51329	20	0	0.5403	0.4727	
rs5k	I5	51414	18	2	0.5317	0.4787	
rs5k	I5	51410	27	0	0.7774	0.4641	
rs5k	I5	51350	26	0	0.6241	0.4660	
rs5k	I5	51575	21	0	0.7347	0.5032	
rs5k	I5	55906	26	1	0.6857	0.4523	
rs5k	I5	51701	25	1	0.6912	0.4698	
rs5k	I5	51583	29	1	0.7543	0.4727	
rs5k	I5	51576	26	2	0.7645	0.4900	
rs5k	I5	51684	29	0	0.7979	0.4757	
rs5k	I5	51713	29	1	0.6601	0.4736	
rs5k	I5	51749	31	0	0.5714	0.4369	
rs5k	I5	51800	29	1	0.6347	0.4649	


rs10k	I0	88844	25	1	0.7301	0.3871	
rs10k	I0	111227	23	0	0.6820	0.4308	
rs10k	I0	110601	19	1	0.7209	0.4503	
rs10k	I0	108792	22	1	0.5422	0.4421	
rs10k	I0	108727	20	1	0.8854	0.4747	
rs10k	I0	106828	20	0	0.5968	0.4231	
rs10k	I0	107788	22	1	0.6396	0.4150	
rs10k	I0	108020	19	2	0.6731	0.5070	
rs10k	I0	105858	18	1	0.6331	0.4416	
rs10k	I0	106191	17	1	0.5820	0.4531	
rs10k	I0	107875	20	1	0.7061	0.4032	
rs10k	I0	109375	19	0	0.6890	0.4277	
rs10k	I0	107626	22	2	0.8535	0.4296	
rs10k	I0	105423	21	1	0.6632	0.4480	
rs10k	I0	106567	19	0	0.5145	0.4378	
rs10k	I0	107282	26	0	0.7163	0.4183	
rs10k	I0	107966	23	0	0.7813	0.3872	
rs10k	I0	109961	20	2	0.8097	0.5171	
rs10k	I0	110750	14	2	0.6721	0.5385	
rs10k	I0	110349	18	1	0.6497	0.5047	
rs10k	I0	110084	18	0	0.6723	0.3998	
rs10k	I0	104585	25	0	0.8239	0.3880	
rs10k	I0	105029	21	1	0.7146	0.4064	
rs10k	I0	109641	18	1	0.6413	0.4223	
rs10k	I0	109175	24	1	0.7834	0.3708	
rs10k	I0	106874	21	0	0.8188	0.3927	
rs10k	I0	106502	24	0	0.7723	0.3963	
rs10k	I0	107511	18	0	0.6842	0.4370	
rs10k	I0	109143	17	2	0.7692	0.4901	
rs10k	I0	108448	18	0	0.8322	0.4644	
rs10k	I0	107781	16	1	0.6721	0.4501	
rs10k	I0	107494	19	1	0.7762	0.4598	
rs10k	I0	105953	19	0	0.7772	0.3749	
rs10k	I0	109588	18	0	0.6206	0.4413	
rs10k	I0	109404	21	2	0.7275	0.3834	
rs10k	I0	110163	18	0	0.5495	0.4397	
rs10k	I0	110060	19	0	0.7157	0.4294	
rs10k	I0	108467	17	1	0.7279	0.4666	
rs10k	I0	108284	21	0	0.7482	0.3499	
rs10k	I0	103373	22	0	0.7348	0.4050	
rs10k	I0	110122	21	0	0.5821	0.4109	
rs10k	I0	111043	18	1	0.6815	0.4406	
rs10k	I0	110122	17	1	0.7280	0.4575	
rs10k	I0	108476	17	1	0.6689	0.3929	
rs10k	I0	108771	20	0	0.7583	0.4357	
rs10k	I0	108887	19	0	0.6506	0.4115	
rs10k	I0	108679	24	0	0.6963	0.3775	
rs10k	I0	109505	21	2	0.7341	0.4677	
rs10k	I0	109465	15	1	0.7740	0.5166	
rs10k	I0	109541	15	0	0.4596	0.4219	
rs10k	I1	633519	29	4	0.6482	0.5440	
rs10k	I1	566673	31	1	0.6165	0.4856	
rs10k	I1	557300	30	1	0.5960	0.4996	
rs10k	I1	554499	38	0	0.7521	0.4735	
rs10k	I1	554189	29	3	0.7592	0.5072	
rs10k	I1	553682	32	1	0.6639	0.5067	
rs10k	I1	554531	33	1	0.6597	0.5383	
rs10k	I1	553802	35	2	0.6801	0.5242	
rs10k	I1	554742	31	2	0.7559	0.5265	
rs10k	I1	556524	29	1	0.6202	0.4834	
rs10k	I1	556945	44	0	0.6170	0.4693	
rs10k	I1	556724	35	1	0.6415	0.4771	
rs10k	I1	557619	39	0	0.7684	0.4904	
rs10k	I1	557127	31	1	0.6702	0.4922	
rs10k	I1	557805	29	1	0.7959	0.5002	
rs10k	I1	557204	33	0	0.6265	0.4949	
rs10k	I1	557033	37	1	0.6896	0.4841	
rs10k	I1	557741	33	1	0.7365	0.4705	
rs10k	I1	557082	36	1	0.6776	0.4663	
rs10k	I1	558007	28	0	0.5921	0.4733	
rs10k	I1	557230	33	0	0.7706	0.4909	
rs10k	I1	551191	29	3	0.7340	0.5331	
rs10k	I1	551034	36	1	0.6870	0.4789	
rs10k	I1	550917	28	2	0.6576	0.5028	
rs10k	I1	550347	30	2	0.6165	0.5140	
rs10k	I1	550486	36	1	0.6564	0.5150	
rs10k	I1	550713	30	4	0.6878	0.5263	
rs10k	I1	550916	28	1	0.5507	0.5077	
rs10k	I1	551495	36	0	0.6009	0.4730	
rs10k	I1	549710	33	0	0.6221	0.4851	
rs10k	I1	550266	26	2	0.6116	0.5211	
rs10k	I1	551115	36	0	0.7272	0.4569	
rs10k	I1	550614	30	1	0.6355	0.4690	
rs10k	I1	550685	38	1	0.4989	0.4719	
rs10k	I1	550452	28	0	0.5868	0.4786	
rs10k	I1	551431	28	2	0.6048	0.4991	
rs10k	I1	551195	32	1	0.7706	0.4734	
rs10k	I1	550770	32	0	0.6997	0.5039	
rs10k	I1	550694	33	1	0.7492	0.4690	
rs10k	I1	549982	39	2	0.7048	0.4403	
rs10k	I1	550286	31	3	0.8014	0.5117	
rs10k	I1	550886	41	0	0.6579	0.4798	
rs10k	I1	550677	30	0	0.6877	0.4865	
rs10k	I1	551139	39	2	0.6786	0.4838	
rs10k	I1	550202	26	1	0.7635	0.5006	
rs10k	I1	550500	26	1	0.7772	0.5107	
rs10k	I1	550209	33	1	0.5102	0.4659	
rs10k	I1	550495	41	0	0.6863	0.4576	
rs10k	I1	549934	34	0	0.5599	0.4894	
rs10k	I1	550600	32	2	0.5888	0.4740	
rs10k	I2	632672	15	2	0.7348	0.3049	
rs10k	I2	631696	16	0	0.7851	0.2148	
rs10k	I2	632259	15	1	0.8172	0.2299	
rs10k	I2	631983	22	0	0.8233	0.1987	
rs10k	I2	631856	17	1	0.7564	0.2980	
rs10k	I2	631072	17	1	0.8424	0.2569	
rs10k	I2	632302	17	0	0.6210	0.2061	
rs10k	I2	631924	16	0	0.6197	0.2383	
rs10k	I2	633763	13	1	0.6181	0.3029	
rs10k	I2	631309	20	1	0.7353	0.2697	
rs10k	I2	631970	12	1	0.7544	0.3773	
rs10k	I2	632746	13	1	0.6760	0.2749	
rs10k	I2	632528	14	2	0.6692	0.2747	
rs10k	I2	631295	15	0	0.5603	0.2350	
rs10k	I2	631434	17	0	0.6742	0.2464	
rs10k	I2	631892	17	0	0.6466	0.1944	
rs10k	I2	632233	12	2	0.7750	0.2959	
rs10k	I2	631966	17	0	0.6432	0.2915	
rs10k	I2	631071	14	1	0.6020	0.2856	
rs10k	I2	631130	13	0	0.8675	0.3072	
rs10k	I2	632343	11	0	0.7211	0.2706	
rs10k	I2	631747	20	0	0.5771	0.2215	
rs10k	I2	633205	20	0	0.8039	0.2035	
rs10k	I2	633454	18	0	0.6117	0.1992	
rs10k	I2	632476	22	0	0.7593	0.2466	
rs10k	I2	631580	24	0	0.7140	0.1756	
rs10k	I2	631249	18	1	0.6890	0.2707	
rs10k	I2	634331	26	0	0.6205	0.1957	
rs10k	I2	634896	25	0	0.8284	0.2206	
rs10k	I2	634564	20	0	0.7609	0.2163	
rs10k	I2	633550	23	0	0.9655	0.2130	
rs10k	I2	634609	25	2	0.8786	0.2590	
rs10k	I2	634642	14	0	0.5995	0.2482	
rs10k	I2	633918	20	0	0.7592	0.2226	
rs10k	I2	634895	21	0	0.7376	0.2527	
rs10k	I2	634273	15	1	0.8238	0.3116	
rs10k	I2	636118	16	0	0.8610	0.2425	
rs10k	I2	642389	21	0	0.7134	0.2166	
rs10k	I2	642823	21	1	0.6110	0.1966	
rs10k	I2	642953	25	0	0.7358	0.1850	
rs10k	I2	618259	13	1	0.8896	0.2227	
rs10k	I2	486677	24	0	0.6921	0.1598	
rs10k	I2	483745	11	0	0.6647	0.2401	
rs10k	I2	484917	18	2	0.8388	0.2696	
rs10k	I2	483341	17	0	0.6166	0.1768	
rs10k	I2	485615	17	1	0.8141	0.3731	
rs10k	I2	483591	21	0	0.7702	0.2369	
rs10k	I2	483063	16	1	0.6932	0.2425	
rs10k	I2	484093	10	2	0.7725	0.5122	
rs10k	I2	483369	21	0	0.6080	0.1891	
rs10k	I3	515205	18	0	0.7625	0.4584	
rs10k	I3	514703	17	1	0.8180	0.4877	
rs10k	I3	514467	23	3	0.7932	0.4779	
rs10k	I3	515363	21	0	0.7474	0.4194	
rs10k	I3	502672	24	2	0.6351	0.4939	
rs10k	I3	340566	16	2	0.5411	0.4905	
rs10k	I3	341232	22	1	0.7239	0.4670	
rs10k	I3	341221	16	0	0.5693	0.4408	
rs10k	I3	340108	28	0	0.7862	0.3909	
rs10k	I3	340348	24	0	0.6266	0.4087	
rs10k	I3	340608	26	0	0.6566	0.4172	
rs10k	I3	340238	24	0	0.6620	0.4421	
rs10k	I3	340351	20	1	0.6781	0.4453	
rs10k	I3	340550	16	4	0.8179	0.5130	
rs10k	I3	340796	24	1	0.9514	0.4199	
rs10k	I3	340500	23	0	0.9874	0.4240	
rs10k	I3	341175	29	0	0.6586	0.3641	
rs10k	I3	340392	19	2	0.9636	0.4854	
rs10k	I3	363330	19	1	0.6114	0.4379	
rs10k	I3	341374	23	1	0.7132	0.4578	
rs10k	I3	341416	26	1	0.8304	0.5268	
rs10k	I3	339885	25	1	0.5974	0.4293	
rs10k	I3	358197	26	0	0.7444	0.4383	
rs10k	I3	371372	27	0	0.8677	0.3919	
rs10k	I3	374697	17	0	0.6792	0.4133	
rs10k	I3	381307	22	0	0.6673	0.3920	
rs10k	I3	369397	17	0	0.7992	0.4691	
rs10k	I3	379052	22	0	0.7559	0.4078	
rs10k	I3	381896	20	0	0.6837	0.4113	
rs10k	I3	381864	23	0	0.9505	0.4482	
rs10k	I3	381949	15	0	0.7206	0.4267	
rs10k	I3	382578	18	1	0.7609	0.4732	
rs10k	I3	382572	19	1	0.9337	0.4446	
rs10k	I3	379122	24	0	1.0166	0.3843	
rs10k	I3	380250	23	1	0.6610	0.4540	
rs10k	I3	383430	24	0	1.0110	0.3966	
rs10k	I3	382027	22	0	0.8933	0.4172	
rs10k	I3	382430	21	0	0.9828	0.4032	
rs10k	I3	384188	26	0	0.9682	0.4054	
rs10k	I3	377593	24	1	0.7158	0.4279	
rs10k	I3	380966	22	0	0.6847	0.4362	
rs10k	I3	383044	24	2	0.6724	0.4424	
rs10k	I3	379523	18	2	0.7736	0.5070	
rs10k	I3	379428	24	0	0.9746	0.4469	
rs10k	I3	382570	25	0	0.6081	0.3802	
rs10k	I3	383306	24	0	0.7610	0.4236	
rs10k	I3	353767	18	2	0.7769	0.4842	
rs10k	I3	341733	18	1	0.5903	0.4730	
rs10k	I3	342538	16	0	0.6783	0.4410	
rs10k	I3	340444	22	1	0.6100	0.4765	
rs10k	I4	117871	33	0	0.5997	0.4269	
rs10k	I4	117917	34	1	0.7512	0.4229	
rs10k	I4	117826	27	1	0.6522	0.4300	
rs10k	I4	117932	36	1	0.6401	0.4079	
rs10k	I4	117774	25	1	0.5960	0.4324	
rs10k	I4	117935	27	1	0.6936	0.4379	
rs10k	I4	117940	30	2	0.6455	0.4281	
rs10k	I4	118064	32	0	0.6019	0.4172	
rs10k	I4	117721	29	0	0.6220	0.4066	
rs10k	I4	117993	37	1	0.6768	0.4315	
rs10k	I4	117872	23	4	0.6304	0.4640	
rs10k	I4	117728	34	0	0.6026	0.4279	
rs10k	I4	117868	29	1	0.5698	0.4173	
rs10k	I4	117874	26	2	0.5740	0.4111	
rs10k	I4	117879	19	2	0.4463	0.4575	
rs10k	I4	117940	25	0	0.6228	0.4507	
rs10k	I4	117794	29	1	0.6184	0.4253	
rs10k	I4	117704	26	2	0.7236	0.4565	
rs10k	I4	117909	30	1	0.8245	0.4758	
rs10k	I4	117946	22	2	0.6350	0.4567	
rs10k	I4	117800	33	1	0.6899	0.4571	
rs10k	I4	117997	32	0	0.7163	0.4272	
rs10k	I4	117767	32	1	0.7134	0.4487	
rs10k	I4	117723	26	0	0.6965	0.4171	
rs10k	I4	117997	33	0	0.7729	0.4188	
rs10k	I4	117819	28	0	0.5431	0.4222	
rs10k	I4	117698	28	1	0.7092	0.4466	
rs10k	I4	117977	31	1	0.6294	0.4216	
rs10k	I4	118100	34	0	0.5626	0.4216	
rs10k	I4	118181	29	0	0.5966	0.4286	
rs10k	I4	118044	34	0	0.6149	0.4115	
rs10k	I4	117802	31	1	0.6466	0.3985	
rs10k	I4	117800	27	1	0.5285	0.4457	
rs10k	I4	117871	39	1	0.7117	0.3987	
rs10k	I4	117782	22	1	0.5852	0.4542	
rs10k	I4	118023	32	1	0.7020	0.4351	
rs10k	I4	117850	23	1	0.5474	0.4250	
